Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2009,1,1,,,,,,,,,
Admiralty,2009,1,2,,,,,,,,,
Admiralty,2009,1,3,,,,,,,,,
Admiralty,2009,1,4,,,,,,,,,
Admiralty,2009,1,5,,,,,,,,,
Admiralty,2009,1,6,,,,,,,,,
Admiralty,2009,1,7,,,,,,,,,
Admiralty,2009,1,8,,,,,,,,,
Admiralty,2009,1,9,,,,,,,,,
Admiralty,2009,1,10,,,,,,,,,
Admiralty,2009,1,11,,,,,,,,,
Admiralty,2009,1,12,,,,,,,,,
Admiralty,2009,1,13,,,,,,,,,
Admiralty,2009,1,14,,,,,,,,,
Admiralty,2009,1,15,,,,,,,,,
Admiralty,2009,1,16,,,,,,,,,
Admiralty,2009,1,17,,,,,,,,,
Admiralty,2009,1,18,,,,,,,,,
Admiralty,2009,1,19,,,,,,,,,
Admiralty,2009,1,20,,,,,,,,,
Admiralty,2009,1,21,,,,,,,,,
Admiralty,2009,1,22,0,,,,,31.5,23.3,11.1,31.7
Admiralty,2009,1,23,0,,,,,31.9,23.8,11.4,36
Admiralty,2009,1,24,0,,,,26.8,31.4,24.4,11.7,38.2
Admiralty,2009,1,25,0.8,,,,25.9,27.8,24.4,12.7,38.2
Admiralty,2009,1,26,0,,,,25.9,29.6,23.7,12.4,42.5
Admiralty,2009,1,27,0,,,,,30.2,23.7,10.4,38.9
Admiralty,2009,1,28,0,,,,26.6,31.9,23.7,10.3,32.4
Admiralty,2009,1,29,0,,,,26.3,30,23.9,11.3,33.5
Admiralty,2009,1,30,0,,,,26.5,30.9,24.2,9.6,31.3
Admiralty,2009,1,31,0,,,,26.4,29.9,24.8,11.4,41.8
Admiralty,2009,2,1,0,,,,26.2,29.1,24.7,13.3,41.4
Admiralty,2009,2,2,0,,,,26.7,31,23.8,9.9,40.7
Admiralty,2009,2,3,0,,,,26.2,30.4,23.5,10.7,31.7
Admiralty,2009,2,4,2.8,,,,26.1,30.4,23.9,8.8,41.4
Admiralty,2009,2,5,0,,,,26.2,30,23.9,11,33.5
Admiralty,2009,2,6,0,,,,26.3,30.4,23.7,11.6,35.3
Admiralty,2009,2,7,0,,,,26,30.4,23.6,11.1,35.3
Admiralty,2009,2,8,0,,,,26.8,31.9,23.8,11.3,32
Admiralty,2009,2,9,0,,,,26.8,31.8,23.7,13.4,38.2
Admiralty,2009,2,10,0,,,,27.1,32,24,10.8,28.1
Admiralty,2009,2,11,21.6,,,,26.4,32,24.4,8.6,30.2
Admiralty,2009,2,12,0.2,,,,27.1,32,24.7,6.5,31
Admiralty,2009,2,13,0,,,,28,33,25.4,9,29.2
Admiralty,2009,2,14,0,,,,27.8,31.9,24.9,8.1,32.4
Admiralty,2009,2,15,0,,,,28.6,32.6,25.5,8.5,40.3
Admiralty,2009,2,16,22,,,,27.4,33.4,26,8.3,38.2
Admiralty,2009,2,17,0,,,,27.8,32.1,25.1,12,38.2
Admiralty,2009,2,18,0,,,,27.4,32.4,24.6,12.2,40
Admiralty,2009,2,19,0,,,,27.3,32.1,24.4,12.9,39.6
Admiralty,2009,2,20,0,,,,27.4,32.1,24.5,11.5,36.7
Admiralty,2009,2,21,0.4,,,,26.9,31.6,25.2,8.6,34.9
Admiralty,2009,2,22,14.6,,,,26.1,31.7,23.1,8.5,41.4
Admiralty,2009,2,23,28.8,,,,25.9,30.9,23.4,6.9,47.5
Admiralty,2009,2,24,7.8,,,,25,27.8,23.4,6.9,29.9
Admiralty,2009,2,25,39.4,,,,26.3,32.6,23,6.3,42.8
Admiralty,2009,2,26,2,,,,26,30.6,24.2,6.6,27.4
Admiralty,2009,2,27,0,,,,26.9,31.1,24.7,7.6,26.3
Admiralty,2009,2,28,8.4,,,,26.8,33.1,24.2,6.9,40
Admiralty,2009,3,1,9.2,,,,26.6,32.1,24.1,7.5,38.5
Admiralty,2009,3,2,41.2,,,,27,32.9,23.9,7.4,30.2
