Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2009,9,1,,,,,,,,,
Ang Mo Kio,2009,9,2,,,,,,,,,
Ang Mo Kio,2009,9,3,,,,,,,,,
Ang Mo Kio,2009,9,4,,,,,,,,,
Ang Mo Kio,2009,9,5,2.2,,,,28.2,31.5,24.7,7.9,39.6
Ang Mo Kio,2009,9,6,1.8,,,,26.2,27.7,23.5,4.6,26.6
Ang Mo Kio,2009,9,7,0,,,,28.3,31,25.8,5.7,26.3
Ang Mo Kio,2009,9,8,0,,,,28.9,31.4,27.4,6.3,24.8
Ang Mo Kio,2009,9,9,0,,,,29.7,32.8,27.5,6.1,27.4
Ang Mo Kio,2009,9,10,0,,,,29.5,32.9,27.4,6.8,31
Ang Mo Kio,2009,9,11,41,,,,26.6,29.5,22.9,4.9,49
Ang Mo Kio,2009,9,12,0,,,,28.8,33,25.3,6.7,35.6
Ang Mo Kio,2009,9,13,0.2,,,,29.2,31.9,27.4,7.4,45.4
Ang Mo Kio,2009,9,14,0,,,,29.2,33.7,26,6,27
Ang Mo Kio,2009,9,15,0,,,,29.4,32.7,26.6,5.6,28.4
Ang Mo Kio,2009,9,16,0.8,,,,28.5,33.1,24.2,6,38.2
Ang Mo Kio,2009,9,17,0,,,,27,29,25.6,5.8,32
Ang Mo Kio,2009,9,18,38.4,,,,25.8,28.4,23.7,3.7,22
Ang Mo Kio,2009,9,19,26,,,,25.4,27.5,23.3,4.3,29.5
Ang Mo Kio,2009,9,20,0,,,,28.2,32.7,24.5,5,24.1
Ang Mo Kio,2009,9,21,7.8,,,,27.6,32.2,23.6,4.9,31
Ang Mo Kio,2009,9,22,1.2,,,,26.8,30.7,24.9,4.1,24.1
Ang Mo Kio,2009,9,23,0.4,,,,28.7,32.4,25.1,4.6,27
Ang Mo Kio,2009,9,24,0.2,,,,27.6,31.3,23.2,6.4,54.4
Ang Mo Kio,2009,9,25,0,,,,29,31.9,26.2,6.1,29.5
Ang Mo Kio,2009,9,26,0,,,,29.5,32.8,25.6,5.8,23.8
Ang Mo Kio,2009,9,27,0,,,,29.5,32.7,27.3,6.4,27.7
Ang Mo Kio,2009,9,28,9.2,,,,29.6,33.1,27.4,6.5,28.1
Ang Mo Kio,2009,9,29,8.6,,,,28.7,31.8,23.8,7.7,44.6
Ang Mo Kio,2009,9,30,0.2,,,,28.6,32.9,24.4,6.1,32.4
Ang Mo Kio,2009,10,1,11.8,,,,,29.5,24.7,6,35.6
Ang Mo Kio,2009,10,2,0,,,,28.7,33.7,26.4,6.2,28.8
Ang Mo Kio,2009,10,3,1.6,,,,26.7,31.5,24.8,4.7,38.9
Ang Mo Kio,2009,10,4,0,,,,27.3,31.8,24.2,5.8,27
Ang Mo Kio,2009,10,5,2.8,,,,27.3,30.7,25.3,5.8,38.9
Ang Mo Kio,2009,10,6,0.8,,,,27.4,29.5,23.1,5.4,43.6
Ang Mo Kio,2009,10,7,0,,,,28.7,32.5,23.9,4.8,42.1
Ang Mo Kio,2009,10,8,1.4,,,,26.7,30.8,23.6,5.2,36
Ang Mo Kio,2009,10,9,0,,,,29.4,33.4,25.3,5.5,31
Ang Mo Kio,2009,10,10,16.6,,,,27.8,30.7,22.4,5.4,50.4
Ang Mo Kio,2009,10,11,0,,,,29.3,32.8,26.4,6.3,27.7
Ang Mo Kio,2009,10,12,0.8,,,,27.3,30.7,24.8,4.7,35.3
Ang Mo Kio,2009,10,13,0.6,,,,27.3,31.2,25.2,6.1,31.7
Ang Mo Kio,2009,10,14,27.8,,,,26.9,30.7,24.3,3.9,29.2
Ang Mo Kio,2009,10,15,27.2,,,,26.6,31.3,22.9,3.5,31
Ang Mo Kio,2009,10,16,0,,,,,32.5,24.6,4.2,24.5
Ang Mo Kio,2009,10,17,0,,,,29.2,33.5,25.6,5.5,26.6
Ang Mo Kio,2009,10,18,0,,,,29.2,32.9,26.6,5.1,29.5
Ang Mo Kio,2009,10,19,0,,,,29.5,34,25.9,4.8,26.3
Ang Mo Kio,2009,10,20,0.4,,,,29.7,33.6,27.4,5.5,23
Ang Mo Kio,2009,10,21,1.6,,,,28.5,31.4,25.9,5.4,23.8
Ang Mo Kio,2009,10,22,0,,,,28.8,32.3,26.1,4.7,29.2
Ang Mo Kio,2009,10,23,0,,,,28.2,32.3,26.1,4,33.8
Ang Mo Kio,2009,10,24,,,,,,,,,
Ang Mo Kio,2009,10,25,0.6,,,,,,,,
Ang Mo Kio,2009,10,26,0,,,,28.7,33.1,25.4,5.7,27
Ang Mo Kio,2009,10,27,49.4,,,,27.6,30.5,23.2,4.2,41.8
Ang Mo Kio,2009,10,28,0.2,,,,27,31.2,25.3,3.8,20.5
Ang Mo Kio,2009,10,29,0,,,,27.3,31.1,24.8,5.2,27
Ang Mo Kio,2009,10,30,94.2,,,,27,31.3,23.8,4.5,30.6
Ang Mo Kio,2009,10,31,101.6,,,,25.6,31,22.6,5.2,42.8
Ang Mo Kio,2009,11,1,0,,,,,33.2,24.4,4.1,25.6
Ang Mo Kio,2009,11,2,1,,,,27.3,33.4,25.3,4,27.7
Ang Mo Kio,2009,11,3,2.4,,,,27.7,32.6,25.2,4.3,33.5
Ang Mo Kio,2009,11,4,8.8,,,,27.6,31.5,24.4,6.4,37.8
Ang Mo Kio,2009,11,5,30.2,,,,25.4,29.9,23.6,4.1,45.4
Ang Mo Kio,2009,11,6,0.4,,,,26.6,30.6,24.6,4,19.4
Ang Mo Kio,2009,11,7,0,,,,27.9,32.5,24.6,4,20.2
Ang Mo Kio,2009,11,8,0,,,,28.8,33.6,25.4,5.1,31
Ang Mo Kio,2009,11,9,10.2,,,,26.6,28.9,24.5,3.9,23.8
Ang Mo Kio,2009,11,10,0,,,,26.6,30.7,24.4,4.5,28.8
Ang Mo Kio,2009,11,11,0.8,,,,27.7,32.1,24.8,3.7,21.2
Ang Mo Kio,2009,11,12,0.8,,,,27.2,32.4,25.6,3.7,34.9
Ang Mo Kio,2009,11,13,24.4,,,,25.5,30.2,23.5,4.2,25.2
Ang Mo Kio,2009,11,14,0.2,,,,25.6,29.5,23.2,5,30.2
Ang Mo Kio,2009,11,15,1,,,,26.7,32.4,24.1,4.5,28.8
Ang Mo Kio,2009,11,16,4,,,,,28.6,23.8,5.2,24.5
Ang Mo Kio,2009,11,17,0,,,,27,32.8,23.8,5.2,28.1
Ang Mo Kio,2009,11,18,15.8,,,,26.6,31.1,23.2,4.3,30.6
Ang Mo Kio,2009,11,19,57.8,,,,24.9,30,21.8,5,42.5
Ang Mo Kio,2009,11,20,4.4,,,,25.1,28.8,23.4,4.7,31.3
Ang Mo Kio,2009,11,21,0.2,,,,26.8,32.1,23.8,6,31.7
Ang Mo Kio,2009,11,22,0,,,,27.3,31.4,24.6,9.3,38.5
Ang Mo Kio,2009,11,23,0,,,,26.4,28.4,24.7,6.6,34.9
Ang Mo Kio,2009,11,24,0,,,,27.8,31.4,25.4,8,41.4
Ang Mo Kio,2009,11,25,0,,,,28.4,33.2,25.3,6.3,34.9
Ang Mo Kio,2009,11,26,0,,,,28.3,34.5,25.1,5.4,34.9
Ang Mo Kio,2009,11,27,14,,,,27.3,33.6,24.3,5.5,23.4
Ang Mo Kio,2009,11,28,3,,,,27.2,31.8,25.2,5.4,29.5
Ang Mo Kio,2009,11,29,2.4,,,,,30.4,24.7,6.6,31.3
Ang Mo Kio,2009,11,30,0,,,,,28,25.2,4.8,18.4
Ang Mo Kio,2009,12,1,0,,,,27.5,32.2,23.9,5.4,31
Ang Mo Kio,2009,12,2,1.6,,,,26.7,30.9,25,3.9,37.8
Ang Mo Kio,2009,12,3,0,,,,26.2,28.6,24.9,5,23.8
Ang Mo Kio,2009,12,4,29.4,,,,25.3,29.1,23.5,4.8,27
Ang Mo Kio,2009,12,5,0.6,,,,25.5,28.1,24.2,4.1,36.4
Ang Mo Kio,2009,12,6,0,,,,26.1,29.9,24.3,4.9,33.8
Ang Mo Kio,2009,12,7,0,,,,26.7,31.1,24.8,6.9,34.2
Ang Mo Kio,2009,12,8,0,,,,27.5,31.6,24.7,8.1,39.2
Ang Mo Kio,2009,12,9,0.2,,,,27,30.7,24.7,7,37.1
Ang Mo Kio,2009,12,10,0,,,,27.4,31.8,24.7,7.7,34.6
Ang Mo Kio,2009,12,11,0,,,,27.2,30.9,24.6,8.1,34.6
Ang Mo Kio,2009,12,12,0,,,,27.3,31.6,24.7,8.9,37.1
Ang Mo Kio,2009,12,13,0.4,,,,27.4,31.1,24.6,6.7,26.6
Ang Mo Kio,2009,12,14,0,,,,27.6,31.4,26,6.9,28.1
Ang Mo Kio,2009,12,15,3,,,,27.2,32.7,25,5.4,29.5
Ang Mo Kio,2009,12,16,23.8,,,,26.8,32.1,23,5.4,38.9
Ang Mo Kio,2009,12,17,15.4,,,,26.2,29,24.2,3.9,30.2
Ang Mo Kio,2009,12,18,0.2,,,,26.6,29.6,23.3,5.5,24.1
Ang Mo Kio,2009,12,19,21.8,,,,25.3,28.3,23.6,4.7,25.2
Ang Mo Kio,2009,12,20,0.4,,,,26.4,30.8,24,6.9,36.4
Ang Mo Kio,2009,12,21,15.4,,,,26.5,29.8,24.4,8.6,52.6
Ang Mo Kio,2009,12,22,0.4,,,,26.5,30.4,24,8.6,42.8
Ang Mo Kio,2009,12,23,3.4,,,,27.2,30.4,25,8.1,36.4
Ang Mo Kio,2009,12,24,13.2,,,,25.3,26.4,24.3,6.7,35.3
Ang Mo Kio,2009,12,25,0,,,,26.8,31.5,24.2,4.7,31
Ang Mo Kio,2009,12,26,42.2,,,,25.7,31.1,23,4.2,34.6
Ang Mo Kio,2009,12,27,0,,,,26,30,24.2,6.1,38.5
Ang Mo Kio,2009,12,28,0,,,,26.4,29.7,24.5,5.4,25.2
Ang Mo Kio,2009,12,29,0,,,,26.9,30.2,24.8,5.8,27.7
Ang Mo Kio,2009,12,30,0,,,,27,30.1,24.9,6.1,23.4
Ang Mo Kio,2009,12,31,0,,,,27.2,30.8,24.6,7.8,35.6
Ang Mo Kio,2010,1,1,1.2,,,,27.2,32.3,25.2,5,27.7
Ang Mo Kio,2010,1,2,0,,,,27.4,31.7,24.5,4.4,25.6
Ang Mo Kio,2010,1,3,10.2,,,,27.4,32,25,5.2,35.3
Ang Mo Kio,2010,1,4,0.2,,,,25.9,29.3,23.2,5.4,43.2
Ang Mo Kio,2010,1,5,0,,,,27.2,31.8,24.3,5.8,29.2
Ang Mo Kio,2010,1,6,22.4,,,,27.7,32.5,25.1,6,30.6
Ang Mo Kio,2010,1,7,,,,,25.6,28.4,22.6,5.4,38.2
Ang Mo Kio,2010,1,8,,,,,,,,,
Ang Mo Kio,2010,1,9,0,,,,26.9,30.7,24.7,8.3,32.4
Ang Mo Kio,2010,1,10,0,,,,27,32.2,23.9,5.9,26.3
Ang Mo Kio,2010,1,11,0,,,,27.2,31.7,24.2,6.3,27.4
Ang Mo Kio,2010,1,12,0,,,,27,32.8,24.4,6.8,31.7
Ang Mo Kio,2010,1,13,2.4,,,,26.7,30.3,25,7.2,37.4
Ang Mo Kio,2010,1,14,0.2,,,,26.7,30,25,9.3,43.2
Ang Mo Kio,2010,1,15,0,,,,26.5,30.1,24.2,9.1,35.3
Ang Mo Kio,2010,1,16,0,,,,26.9,30.8,24.4,8.2,34.9
Ang Mo Kio,2010,1,17,0,,,,27.1,32.1,24.1,8.5,34.2
Ang Mo Kio,2010,1,18,0,,,,26.4,30.2,24.9,8.8,39.6
Ang Mo Kio,2010,1,19,1,,,,26.8,31.5,24.2,5.3,28.8
Ang Mo Kio,2010,1,20,0,,,,27.1,31.7,22.5,5.2,40.7
Ang Mo Kio,2010,1,21,19.4,,,,26.8,31.3,24.9,5.5,27
Ang Mo Kio,2010,1,22,18.6,,,,25.8,30.1,22,4.6,38.5
Ang Mo Kio,2010,1,23,0,,,,27.5,32.3,24.5,7.2,32.8
Ang Mo Kio,2010,1,24,0,,,,27.5,31.6,25,8.3,37.4
Ang Mo Kio,2010,1,25,0,,,,27.2,31.3,24.7,8.8,32.8
Ang Mo Kio,2010,1,26,0,,,,27.5,31.9,24.7,7.6,32.4
Ang Mo Kio,2010,1,27,0.2,,,,27.2,30.2,25.1,8.5,41.4
Ang Mo Kio,2010,1,28,0,,,,27.2,31.5,24.9,7.9,36.7
Ang Mo Kio,2010,1,29,6.6,,,,27.1,31.6,24.6,8.1,36.4
Ang Mo Kio,2010,1,30,0,,,,,32,24.9,8.2,34.6
Ang Mo Kio,2010,1,31,0,,,,27.6,31.6,25.3,8.3,37.8
Ang Mo Kio,2010,2,1,0,,,,27.4,31.9,24.7,7.4,36.4
Ang Mo Kio,2010,2,2,0,,,,,34.1,23.8,6.3,24.1
Ang Mo Kio,2010,2,3,0,,,,28.1,33.6,24.9,7.3,32.8
Ang Mo Kio,2010,2,4,0,,,,28.1,33,25.2,8.2,38.5
Ang Mo Kio,2010,2,5,10.2,,,,27.1,33,22.4,6.1,45.7
Ang Mo Kio,2010,2,6,0,,,,28,32.7,25,6.9,31
Ang Mo Kio,2010,2,7,0,,,,28.1,32.9,25.3,7.7,33.5
Ang Mo Kio,2010,2,8,0,,,,28.1,32.5,25.4,7.6,31.7
Ang Mo Kio,2010,2,9,0.2,,,,,32,25.6,7.5,41.8
Ang Mo Kio,2010,2,10,0,,,,28.4,32.8,25.5,7.9,37.4
Ang Mo Kio,2010,2,11,0,,,,28.2,32.2,26,8.1,36.4
Ang Mo Kio,2010,2,12,0,,,,28.3,33.1,25.1,8.6,37.4
Ang Mo Kio,2010,2,13,0,,,,28.5,33,25.5,8.9,42.1
Ang Mo Kio,2010,2,14,0,,,,28.4,33.2,25.1,8,31
Ang Mo Kio,2010,2,15,0,,,,28.1,31.9,26,8,39.6
Ang Mo Kio,2010,2,16,0.2,,,,28.6,33,25.9,8.8,37.1
Ang Mo Kio,2010,2,17,0,,,,28.5,33.2,25.5,8.7,45
Ang Mo Kio,2010,2,18,0,,,,28.2,32.3,26,10,53.6
Ang Mo Kio,2010,2,19,0,,,,27.7,31.3,25.1,6.6,29.9
Ang Mo Kio,2010,2,20,0,,,,27.7,31.4,25.9,6.8,30.6
Ang Mo Kio,2010,2,21,11.2,,,,27.7,32.6,24.5,6.9,36.4
Ang Mo Kio,2010,2,22,0,,,,28,32.5,25.5,6.7,34.2
Ang Mo Kio,2010,2,23,0,,,,28.4,33.8,25.6,6.6,31
Ang Mo Kio,2010,2,24,0,,,,28.6,33.9,25.5,6.8,28.4
Ang Mo Kio,2010,2,25,0,,,,28.9,34.5,26.1,6,47.2
Ang Mo Kio,2010,2,26,12.4,,,,28.4,33.5,26.3,6,27
Ang Mo Kio,2010,2,27,0,,,,28.4,33.3,25.4,5.7,26.3
Ang Mo Kio,2010,2,28,0,,,,28.9,33.7,25.8,6,25.6
Ang Mo Kio,2010,3,1,0,,,,28.8,32.8,26.1,5.9,29.5
Ang Mo Kio,2010,3,2,0,,,,28.8,34.3,25.7,6.7,34.2
Ang Mo Kio,2010,3,3,0,,,,28.9,35,25.7,6.2,29.2
Ang Mo Kio,2010,3,4,0,,,,28.8,35.5,25.5,6.3,29.2
Ang Mo Kio,2010,3,5,0,,,,28.7,33.8,25.8,7,33.5
Ang Mo Kio,2010,3,6,0,,,,28.9,35.2,25.5,6.7,32.8
Ang Mo Kio,2010,3,7,0,,,,28.9,34.6,26.1,6.5,25.2
Ang Mo Kio,2010,3,8,0,,,,28.8,34.4,25.8,6.6,27.4
Ang Mo Kio,2010,3,9,17.2,,,,29.1,33.7,26.3,5.1,33.1
Ang Mo Kio,2010,3,10,22.4,,,,27.6,31.5,24.2,7.3,42.5
Ang Mo Kio,2010,3,11,0,,,,28.3,33.6,25.2,7,36.4
Ang Mo Kio,2010,3,12,0,,,,28.7,33.1,26.4,7.1,38.5
Ang Mo Kio,2010,3,13,15,,,,27.6,31.5,25.3,5.6,30.2
Ang Mo Kio,2010,3,14,52.6,,,,27.1,32.3,23.8,4.5,45
Ang Mo Kio,2010,3,15,15.4,,,,27.6,32.2,25.6,4.6,28.8
Ang Mo Kio,2010,3,16,0,,,,27,29.3,24.4,5.7,35.3
Ang Mo Kio,2010,3,17,0,,,,28.5,33.1,24.8,7.6,38.5
Ang Mo Kio,2010,3,18,26.2,,,,26.4,30.9,23.1,5.9,45.7
Ang Mo Kio,2010,3,19,11.8,,,,26.1,31,24.1,6.1,33.1
Ang Mo Kio,2010,3,20,13.2,,,,24.7,25.4,23.7,5,22
Ang Mo Kio,2010,3,21,0,,,,27.3,32,24.3,5.1,27
Ang Mo Kio,2010,3,22,0,,,,28,33.5,25.3,5.6,31.7
Ang Mo Kio,2010,3,23,23.6,,,,27.5,31,23.6,5,36.4
Ang Mo Kio,2010,3,24,26.6,,,,27.9,33.8,25.2,4.6,34.2
Ang Mo Kio,2010,3,25,5,,,,,33.6,24.8,4.9,34.6
Ang Mo Kio,2010,3,26,0,,,,27.7,32.9,25.2,4,28.4
Ang Mo Kio,2010,3,27,0,,,,28.6,33,25.6,6.7,34.6
Ang Mo Kio,2010,3,28,0,,,,28.7,33.5,25.3,6.8,31
Ang Mo Kio,2010,3,29,38.2,,,,27.6,33.4,24.3,5.4,37.4
Ang Mo Kio,2010,3,30,12.8,,,,27.1,32.2,25.2,3.9,25.2
Ang Mo Kio,2010,3,31,0.2,,,,27.2,32.1,24.9,4.4,25.6
Ang Mo Kio,2010,4,1,21,,,,27.8,31.6,23.7,4,33.8
Ang Mo Kio,2010,4,2,0.2,,,,28.6,32.9,25.3,5.2,32
Ang Mo Kio,2010,4,3,6.4,,,,27.2,33.6,24.5,5.1,34.9
Ang Mo Kio,2010,4,4,13.4,,,,25.4,27.5,23.2,3.5,40.3
Ang Mo Kio,2010,4,5,0.8,,,,27.4,33.1,24.2,5.9,34.6
Ang Mo Kio,2010,4,6,0,,,,29.4,34.4,25.6,6.1,31
Ang Mo Kio,2010,4,7,0,,,,29.7,34.6,26.7,6.4,31
Ang Mo Kio,2010,4,8,0,,,,29.4,33.7,26.7,5.7,30.6
Ang Mo Kio,2010,4,9,7.6,,,,28.9,33.8,26.8,5.7,30.6
Ang Mo Kio,2010,4,10,0.2,,,,27.8,30.5,25.1,6,30.6
Ang Mo Kio,2010,4,11,0,,,,29.4,34.8,26,5.1,24.8
Ang Mo Kio,2010,4,12,25.6,,,,29.7,35.1,25.6,5.1,23.8
Ang Mo Kio,2010,4,13,33.4,,,,28.1,34.5,23.7,5.1,28.1
Ang Mo Kio,2010,4,14,0,,,,28.6,34.4,24.7,5.7,32
Ang Mo Kio,2010,4,15,34.2,,,,28.5,34.7,22.8,5,45.7
Ang Mo Kio,2010,4,16,0.6,,,,27.7,32.9,24.9,4.8,33.8
Ang Mo Kio,2010,4,17,9.6,,,,28.1,34.8,25.2,4.7,31
Ang Mo Kio,2010,4,18,7,,,,27.3,32,23.9,4.3,47.5
Ang Mo Kio,2010,4,19,36.8,,,,27.6,34.9,23.7,4.3,25.2
Ang Mo Kio,2010,4,20,,,,,27.8,33.1,25.2,4.3,31
Ang Mo Kio,2010,4,21,0,,,,28.3,33.9,26.6,3.1,26.6
Ang Mo Kio,2010,4,22,18.8,,,,28,34,23.4,4.3,39.6
Ang Mo Kio,2010,4,23,14.4,,,,28.2,35.3,24.4,4.3,42.8
Ang Mo Kio,2010,4,24,20.2,,,,27.4,33,24.4,3.9,30.6
Ang Mo Kio,2010,4,25,0,,,,28.6,32.1,25.6,5.7,41.8
Ang Mo Kio,2010,4,26,78.4,,,,26.4,30.1,23.5,4.2,32.8
Ang Mo Kio,2010,4,27,5.4,,,,28.2,34.7,24.4,3.7,32.8
Ang Mo Kio,2010,4,28,12.6,,,,28.2,34.4,23.5,3.7,41
Ang Mo Kio,2010,4,29,0,,,,28.4,33.3,25.9,4.6,32.8
Ang Mo Kio,2010,4,30,0,,,,29.6,34,25.9,6.7,32
Ang Mo Kio,2010,5,1,0,,,,30,36,26.7,5.4,29.9
Ang Mo Kio,2010,5,2,0,,,,29.6,34.7,26.5,5.6,32
Ang Mo Kio,2010,5,3,4.8,,,,29.5,33.1,26.8,5.2,32.4
Ang Mo Kio,2010,5,4,0,,,,30.2,35.3,27.2,4.8,28.8
Ang Mo Kio,2010,5,5,0,,,,30,34.2,27.6,5.6,33.8
Ang Mo Kio,2010,5,6,0,,,,30.1,34.4,27.6,6.1,28.8
Ang Mo Kio,2010,5,7,0,,,,30.2,35.5,27,4.5,18.4
Ang Mo Kio,2010,5,8,35.4,,,,29.1,35.5,24.7,4.3,41
Ang Mo Kio,2010,5,9,1.2,,,,28.1,33,25,4,31.3
Ang Mo Kio,2010,5,10,18,,,,28,33.5,24.8,3.4,29.9
Ang Mo Kio,2010,5,11,16.8,,,,28.1,34.4,24.9,4.3,36
Ang Mo Kio,2010,5,12,0.8,,,,29,33.7,26,3.7,22.7
Ang Mo Kio,2010,5,13,1.4,,,,28.2,34.2,26.7,3.8,26.3
Ang Mo Kio,2010,5,14,4.6,,,,28.1,32.8,26.4,3.4,25.6
Ang Mo Kio,2010,5,15,0,,,,29.1,33.4,24.7,5.6,33.5
Ang Mo Kio,2010,5,16,62.6,,,,28.6,36,22.6,4.2,34.9
Ang Mo Kio,2010,5,17,1.8,,,,27.7,32.6,22.9,5.2,42.1
Ang Mo Kio,2010,5,18,2.6,,,,28.4,33.9,26.1,6.7,32
Ang Mo Kio,2010,5,19,4.6,,,,26.6,30,24.8,4.6,32
Ang Mo Kio,2010,5,20,0.4,,,,29.1,34.1,26.5,4.3,24.5
Ang Mo Kio,2010,5,21,0,,,,29.4,33.8,26.6,4.3,20.9
Ang Mo Kio,2010,5,22,0.8,,,,28,30,26.6,5.2,30.6
Ang Mo Kio,2010,5,23,0,,,,29.7,34.3,25.7,5.3,25.2
Ang Mo Kio,2010,5,24,5,,,,29.5,33.2,26.8,4.6,24.1
Ang Mo Kio,2010,5,25,0,,,,29.9,34.3,27.1,4.7,25.2
Ang Mo Kio,2010,5,26,0,,,,30.2,34.2,26.7,5.5,26.3
Ang Mo Kio,2010,5,27,0,,,,29.5,34.2,26.8,5.5,33.1
Ang Mo Kio,2010,5,28,3.6,,,,28.6,33.2,26.2,4.7,25.9
Ang Mo Kio,2010,5,29,0,,,,28.9,34.3,26.3,3.9,29.2
Ang Mo Kio,2010,5,30,0,,,,28.2,31.8,26.3,4.5,34.6
Ang Mo Kio,2010,5,31,2,,,,27.6,31,25.5,3.8,19.4
Ang Mo Kio,2010,6,1,3.6,,,,28.8,32.5,26,3.6,19.1
Ang Mo Kio,2010,6,2,0.6,,,,28,31.3,24.7,5.4,27.4
Ang Mo Kio,2010,6,3,0,,,,29.6,33.4,26.5,5,24.1
Ang Mo Kio,2010,6,4,0,,,,28.8,33.7,26.7,4.2,27
Ang Mo Kio,2010,6,5,0,,,,28,31,26.3,5.7,31.3
Ang Mo Kio,2010,6,6,14.8,,,,29.1,32.4,26,5.2,29.5
Ang Mo Kio,2010,6,7,22.2,,,,28.3,30.9,25.1,5.8,29.2
Ang Mo Kio,2010,6,8,1.6,,,,26.3,26.9,25.7,3.6,25.6
Ang Mo Kio,2010,6,9,0.6,,,,27.8,33.5,25.4,3.5,28.8
Ang Mo Kio,2010,6,10,0.6,,,,27.1,29.3,26.1,4.4,21.2
Ang Mo Kio,2010,6,11,0,,,,29.2,33.2,26.2,5.3,26.3
Ang Mo Kio,2010,6,12,4.4,,,,28.3,33.4,26.5,3.8,28.1
Ang Mo Kio,2010,6,13,2.4,,,,27.3,34.4,24.6,3.4,37.8
Ang Mo Kio,2010,6,14,4,,,,27.9,31.6,24.7,4.3,38.9
Ang Mo Kio,2010,6,15,14.2,,,,27.6,31.2,23.7,4.7,37.1
Ang Mo Kio,2010,6,16,67.2,,,,25.7,28.4,23,5.5,35.6
Ang Mo Kio,2010,6,17,0,,,,27.8,31.8,24.1,5.5,30.2
Ang Mo Kio,2010,6,18,2.6,,,,28.5,30.2,24.9,4.1,23
Ang Mo Kio,2010,6,19,0,,,,28.6,32.5,25.9,4.7,28.8
Ang Mo Kio,2010,6,20,0,,,,28.6,31.7,25.1,4.9,25.2
Ang Mo Kio,2010,6,21,0,,,,29.6,32.1,28.1,6.9,32.8
Ang Mo Kio,2010,6,22,1,,,,28.3,30.1,24.2,6.8,37.1
Ang Mo Kio,2010,6,23,39,,,,26.6,30.2,23.7,6.6,34.6
Ang Mo Kio,2010,6,24,21.8,,,,28,31,25.1,7.2,27.7
Ang Mo Kio,2010,6,25,57.8,,,,26,28.2,22.8,7.5,43.9
Ang Mo Kio,2010,6,26,0,,,,28.4,32.3,25.6,5,28.8
Ang Mo Kio,2010,6,27,1.6,,,,27.6,30.1,24.5,5.1,29.9
Ang Mo Kio,2010,6,28,7,,,,28,30.7,25.6,4.7,27
Ang Mo Kio,2010,6,29,0.6,,,,28.4,31.9,25.2,6.3,27.7
Ang Mo Kio,2010,6,30,27,,,,28.2,32.5,26.2,4,28.1
Ang Mo Kio,2010,7,1,41.8,,,,26.9,31,23.4,4.4,33.1
Ang Mo Kio,2010,7,2,46.8,,,,25.7,31.3,23,4.9,32.8
Ang Mo Kio,2010,7,3,4.8,,,,25.6,28.1,22.8,4.6,33.1
Ang Mo Kio,2010,7,4,0,,,,27.5,30.4,25.1,4.1,21.6
Ang Mo Kio,2010,7,5,0,,,,28.7,32.7,25.8,4.6,22.7
Ang Mo Kio,2010,7,6,0,,,,29.5,33.2,26.9,6.6,27.4
Ang Mo Kio,2010,7,7,0,,,,28.8,33.5,26.4,4.5,25.2
Ang Mo Kio,2010,7,8,0.2,,,,27.2,30,24.6,5,20.2
Ang Mo Kio,2010,7,9,0,,,,27.8,32.5,25,4.4,23
Ang Mo Kio,2010,7,10,0,,,,26.7,32.1,24.7,3.7,32
Ang Mo Kio,2010,7,11,6.2,,,,28.6,32.5,25,4.9,29.2
Ang Mo Kio,2010,7,12,0.4,,,,28.6,31.9,26.6,5.3,36.4
Ang Mo Kio,2010,7,13,0,,,,28.6,32.6,25.9,4.7,24.8
