Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2009,6,1,,,,,,,,,
East Coast Parkway,2009,6,2,,,,,,,,,
East Coast Parkway,2009,6,3,,,,,,,,,
East Coast Parkway,2009,6,4,,,,,,,,,
East Coast Parkway,2009,6,5,,,,,,,,,
East Coast Parkway,2009,6,6,,,,,,,,,
East Coast Parkway,2009,6,7,,,,,,,,,
East Coast Parkway,2009,6,8,,,,,,,,,
East Coast Parkway,2009,6,9,,,,,,,,,
East Coast Parkway,2009,6,10,,,,,,,,,
East Coast Parkway,2009,6,11,,,,,,,,,
East Coast Parkway,2009,6,12,0,,,,29.5,31.1,27.8,11.7,43.9
East Coast Parkway,2009,6,13,0,,,,28.2,30.3,26,8.7,43.9
East Coast Parkway,2009,6,14,3.4,,,,28.5,30,25.9,11,49
East Coast Parkway,2009,6,15,0,,,,29,31,27.2,13.6,42.1
East Coast Parkway,2009,6,16,0,,,,29.1,30.1,26.6,17.3,30.6
East Coast Parkway,2009,6,17,0,,,,29.9,31.6,29,16.4,33.1
East Coast Parkway,2009,6,18,0,,,,30,31.5,28.9,17.8,31.7
East Coast Parkway,2009,6,19,8.6,,,,29.6,31.2,25.6,15.1,49.3
East Coast Parkway,2009,6,20,0,,,,29.6,30.7,28.8,13.4,31
East Coast Parkway,2009,6,21,0,,,,29.5,30.7,28.4,13,40
East Coast Parkway,2009,6,22,0,,,,28.9,29.8,27.4,11.7,29.2
East Coast Parkway,2009,6,23,0,,,,28.8,29.9,27,8.9,29.2
East Coast Parkway,2009,6,24,2.2,,,,27.3,29.1,25.9,10.7,42.1
East Coast Parkway,2009,6,25,0,,,,28.5,30.8,26.1,8.9,26.6
East Coast Parkway,2009,6,26,0,,,,28.8,30.1,27.1,8.9,40.7
East Coast Parkway,2009,6,27,0,,,,28.2,29.6,26.7,10,47.5
East Coast Parkway,2009,6,28,0,,,,28.7,30,26.7,8.5,32.8
East Coast Parkway,2009,6,29,2,,,,27.7,29.7,25.6,11,45.4
East Coast Parkway,2009,6,30,0,,,,28.3,30.3,25.5,11.7,31.3
East Coast Parkway,2009,7,1,0.4,,,,28.4,29.7,24.4,13.6,37.8
East Coast Parkway,2009,7,2,0,,,,28.4,29.7,26.7,10.2,30.2
East Coast Parkway,2009,7,3,0,,,,28.9,30.6,27.5,13.3,29.5
East Coast Parkway,2009,7,4,3,,,,29.2,30.6,27.6,18.2,41.4
East Coast Parkway,2009,7,5,11.6,,,,27.7,30.6,24.1,14.7,57.2
East Coast Parkway,2009,7,6,18.6,,,,26.7,28.5,23.8,12.9,53.3
East Coast Parkway,2009,7,7,0,,,,27.9,29.5,25.7,10.1,47.2
East Coast Parkway,2009,7,8,1.8,,,,28.3,29.7,26.1,8,23.8
East Coast Parkway,2009,7,9,0,,,,28.7,30.1,27.6,7.9,23.4
East Coast Parkway,2009,7,10,0,,,,28.2,29.4,26.5,10.6,48.2
East Coast Parkway,2009,7,11,42.6,,,,27.7,30,23.7,15.1,45
East Coast Parkway,2009,7,12,0,,,,28.1,29.4,25.1,19.9,40.3
East Coast Parkway,2009,7,13,0,,,,29,30.1,27.9,19.7,33.1
East Coast Parkway,2009,7,14,2.8,,,,29,30.5,28,16.5,33.1
East Coast Parkway,2009,7,15,6.8,,,,27.8,29.3,23.1,13,33.8
East Coast Parkway,2009,7,16,0,,,,29.1,30.3,28.2,17,40.7
East Coast Parkway,2009,7,17,0,,,,29.4,30.5,28.5,16.3,33.5
East Coast Parkway,2009,7,18,0,,,,29,29.7,28.4,14.6,30.2
East Coast Parkway,2009,7,19,0,,,,28.7,30.1,27.4,11.7,33.8
East Coast Parkway,2009,7,20,0,,,,29.2,30.9,27.3,12.1,28.8
East Coast Parkway,2009,7,21,1.8,,,,29.4,30.8,28.5,15.3,29.2
East Coast Parkway,2009,7,22,22.4,,,,27.2,29.1,23.2,11,44.3
East Coast Parkway,2009,7,23,14.4,,,,28.9,30.7,28.1,12.5,27.4
East Coast Parkway,2009,7,24,0,,,,27.2,28.9,23.3,14.8,33.1
East Coast Parkway,2009,7,25,0.2,,,,28.8,30.3,27.8,11.4,26.6
East Coast Parkway,2009,7,26,0,,,,28.3,29.4,25.6,14.5,37.1
East Coast Parkway,2009,7,27,36.6,,,,27.2,28.8,23,13.1,50
East Coast Parkway,2009,7,28,0,,,,27.7,29.5,25.4,12.8,36.7
East Coast Parkway,2009,7,29,0,,,,28.9,30,28,18.5,33.5
East Coast Parkway,2009,7,30,0,,,,28.7,30.1,26.5,15.7,32.4
East Coast Parkway,2009,7,31,0,,,,28.8,30.1,27.7,16.3,31.3
East Coast Parkway,2009,8,1,0,,,,28.9,30.1,27.8,17.3,31
East Coast Parkway,2009,8,2,0,,,,29,30.1,27.8,16.6,31.7
East Coast Parkway,2009,8,3,0,,,,29,30.2,27.9,18.4,30.2
East Coast Parkway,2009,8,4,0,,,,29,30.4,28,16.4,30.2
East Coast Parkway,2009,8,5,0,,,,29,30.1,28.3,15.3,28.8
East Coast Parkway,2009,8,6,0,,,,29.1,30.4,27.1,12.8,24.1
East Coast Parkway,2009,8,7,0,,,,29.1,30.3,28.5,16.6,38.9
East Coast Parkway,2009,8,8,0,,,,28.8,30,27.6,12.5,38.9
East Coast Parkway,2009,8,9,47.8,,,,28.8,30.5,28,17.1,38.2
East Coast Parkway,2009,8,10,1,,,,27.1,28.8,22.9,11.2,43.2
East Coast Parkway,2009,8,11,0,,,,28.7,30.1,26.9,11.5,25.9
East Coast Parkway,2009,8,12,0,,,,28.9,29.8,28.3,17.7,35.6
East Coast Parkway,2009,8,13,0,,,,29.2,30.5,28.1,16.3,26.6
East Coast Parkway,2009,8,14,4.8,,,,28.8,30.4,25.6,13.1,44.3
East Coast Parkway,2009,8,15,0,,,,28,30,26.9,9,30.6
East Coast Parkway,2009,8,16,0,,,,28.3,29.5,27.3,9.5,28.4
East Coast Parkway,2009,8,17,0,,,,28.2,29.3,26.2,10,38.9
East Coast Parkway,2009,8,18,0,,,,28.4,29.6,26.6,11.1,25.6
East Coast Parkway,2009,8,19,0,,,,28.9,30.1,27.8,11.1,36.7
East Coast Parkway,2009,8,20,0,,,,28.4,29.6,25.9,11.2,38.9
East Coast Parkway,2009,8,21,0,,,,27.6,29.3,25.9,7.4,42.5
East Coast Parkway,2009,8,22,8.4,,,,29,30.7,27,13.1,33.8
East Coast Parkway,2009,8,23,1.4,,,,26.5,29,23.9,9.9,40.7
East Coast Parkway,2009,8,24,1,,,,27.3,28.9,24.8,12.3,39.2
East Coast Parkway,2009,8,25,0,,,,27.8,29.9,24.2,15,40.3
East Coast Parkway,2009,8,26,44.8,,,,27.7,29.2,26,11.4,26.3
East Coast Parkway,2009,8,27,7.8,,,,27.1,29.1,23.5,13.1,39.6
East Coast Parkway,2009,8,28,0,,,,27,28.8,23.9,13.7,67.3
East Coast Parkway,2009,8,29,0,,,,28.9,30.2,27.4,14.9,29.9
East Coast Parkway,2009,8,30,18.4,,,,27.1,29.1,23.9,13.8,41
East Coast Parkway,2009,8,31,0,,,,28.6,30.5,27.2,13.3,26.6
East Coast Parkway,2009,9,1,3,,,,26.4,29.3,24.3,8.1,46.8
East Coast Parkway,2009,9,2,0,,,,27.4,29.6,24.5,9.9,25.2
East Coast Parkway,2009,9,3,0,,,,28.9,30.6,27.6,14.4,29.9
East Coast Parkway,2009,9,4,1.6,,,,28.8,30.4,26.3,11.9,41.8
East Coast Parkway,2009,9,5,0.8,,,,28.3,29.9,25.7,16,49.7
East Coast Parkway,2009,9,6,5.6,,,,27,28.5,24.6,10.4,36.4
East Coast Parkway,2009,9,7,0,,,,28.8,30.1,27.4,15.3,28.1
East Coast Parkway,2009,9,8,0,,,,29.1,30.5,28.3,12.7,25.6
East Coast Parkway,2009,9,9,0,,,,29.2,30.7,28,11.8,39.2
East Coast Parkway,2009,9,10,0,,,,28.9,29.5,28.4,12.3,28.4
East Coast Parkway,2009,9,11,20,,,,28,30.2,24.3,10.7,42.5
East Coast Parkway,2009,9,12,0,,,,29,30.6,27.7,14.5,36
East Coast Parkway,2009,9,13,17,,,,29.2,30.3,27.5,15,47.9
East Coast Parkway,2009,9,14,0,,,,28.9,31.5,26.5,8.3,28.4
East Coast Parkway,2009,9,15,0,,,,29.1,30.4,27.5,11,26.3
East Coast Parkway,2009,9,16,8.8,,,,27.9,30,24.5,11.1,53.3
East Coast Parkway,2009,9,17,0,,,,27.2,28.4,25.6,10.9,31
East Coast Parkway,2009,9,18,13.2,,,,26.8,29,23.9,7.6,36.7
East Coast Parkway,2009,9,19,8.8,,,,26.3,27.3,24.9,7,38.9
East Coast Parkway,2009,9,20,0,,,,27.9,29.9,25.6,7.9,25.2
East Coast Parkway,2009,9,21,1,,,,27.8,30.1,24.9,8.8,42.8
East Coast Parkway,2009,9,22,0,,,,27.5,29.2,25.9,7.9,30.6
East Coast Parkway,2009,9,23,0,,,,28.4,30.4,26,7.8,25.6
East Coast Parkway,2009,9,24,0.8,,,,27.9,29.5,24.7,14.2,56.5
East Coast Parkway,2009,9,25,0,,,,29.1,30,27.3,13,27.7
East Coast Parkway,2009,9,26,0,,,,29.3,30.6,27.4,10.4,35.3
East Coast Parkway,2009,9,27,0,,,,29.1,30.3,28,14.5,28.4
East Coast Parkway,2009,9,28,6.4,,,,29.2,30.6,28.1,14.3,29.9
East Coast Parkway,2009,9,29,0.2,,,,28.7,29.9,24.6,16.9,55.1
East Coast Parkway,2009,9,30,0,,,,28.7,30.3,25.7,14.2,35.6
East Coast Parkway,2009,10,1,4.8,,,,28,29.3,25.4,14.7,48.6
East Coast Parkway,2009,10,2,0,,,,28.4,30.4,27.3,12.1,29.2
East Coast Parkway,2009,10,3,0.8,,,,27.5,29.1,25.8,10.4,41
East Coast Parkway,2009,10,4,0.2,,,,27.8,29.7,25.3,11.8,36
East Coast Parkway,2009,10,5,6,,,,28,29.5,25.7,9.9,37.8
East Coast Parkway,2009,10,6,0.8,,,,27.9,29.1,23.2,11.3,39.6
East Coast Parkway,2009,10,7,0,,,,28.3,30.6,24.6,8.4,28.4
East Coast Parkway,2009,10,8,25.6,,,,27.6,29.9,23,11.1,47.9
East Coast Parkway,2009,10,9,0,,,,29.3,31,26.2,10.5,21.6
East Coast Parkway,2009,10,10,13.2,,,,28.6,29.8,23.2,13.5,54
East Coast Parkway,2009,10,11,0,,,,29.5,30.9,27.3,14.3,27.7
East Coast Parkway,2009,10,12,16,,,,27.4,29.5,23.9,8.8,46.1
East Coast Parkway,2009,10,13,0.6,,,,27.6,28.5,25.6,14.1,43.2
East Coast Parkway,2009,10,14,7.4,,,,27.7,29.2,25,8.3,40.7
East Coast Parkway,2009,10,15,0,,,,28,29.3,26.3,7.9,32
East Coast Parkway,2009,10,16,0,,,,27.9,29.8,25.9,8.3,32.4
East Coast Parkway,2009,10,17,0,,,,28.6,30.4,26.6,10.6,27
East Coast Parkway,2009,10,18,0,,,,28.8,29.8,27.2,9.7,50.8
East Coast Parkway,2009,10,19,0,,,,28.7,30.5,26.3,8.6,26.6
East Coast Parkway,2009,10,20,0,,,,29.3,30.5,28,9,37.1
East Coast Parkway,2009,10,21,0,,,,28.7,29.7,26.6,10.7,32
East Coast Parkway,2009,10,22,0,,,,28.9,30.1,27.2,7.2,36.7
East Coast Parkway,2009,10,23,0,,,,28.6,30.5,26.8,8,41.8
East Coast Parkway,2009,10,24,0,,,,29,30.3,27.3,7.2,30.2
East Coast Parkway,2009,10,25,0,,,,28.5,29.8,27.1,11.2,46.1
East Coast Parkway,2009,10,26,0,,,,28.6,29.8,26.9,9.8,29.9
East Coast Parkway,2009,10,27,0,,,,28.5,30,27.3,7.2,35.6
East Coast Parkway,2009,10,28,0,,,,28.1,30.1,26.9,6.8,33.8
East Coast Parkway,2009,10,29,0,,,,28.2,31.2,26.1,8.4,47.2
East Coast Parkway,2009,10,30,25.4,,,,27.6,30,25.1,6.3,21.6
East Coast Parkway,2009,10,31,7.6,,,,27,31.1,24.7,6.6,30.2
East Coast Parkway,2009,11,1,0,,,,28,31,25.9,6.1,28.1
East Coast Parkway,2009,11,2,14.2,,,,27.9,32.3,25.6,5.6,29.9
East Coast Parkway,2009,11,3,4,,,,28.4,31.4,26,7,30.2
East Coast Parkway,2009,11,4,18.8,,,,28.1,31.3,25,7.6,46.8
East Coast Parkway,2009,11,5,25.6,,,,26.2,29.1,24.2,5.9,87.5
East Coast Parkway,2009,11,6,0.8,,,,27.3,30.3,25.3,4.7,26.3
East Coast Parkway,2009,11,7,0,,,,28.1,30.3,25.8,7.6,24.1
East Coast Parkway,2009,11,8,0,,,,28.8,31.2,26.7,8.2,33.5
East Coast Parkway,2009,11,9,0.2,,,,27.5,29.5,25.7,6,41.8
East Coast Parkway,2009,11,10,0,,,,27.2,28.9,25.7,6.8,28.8
East Coast Parkway,2009,11,11,0,,,,28.3,30.4,25.9,7.1,28.1
East Coast Parkway,2009,11,12,11,,,,27.6,29.6,25.5,6.2,32.4
East Coast Parkway,2009,11,13,23.8,,,,26.3,29.5,24.6,6.1,37.1
East Coast Parkway,2009,11,14,0,,,,26.1,28.2,24.1,8.6,37.1
East Coast Parkway,2009,11,15,0.6,,,,26.8,29.7,25.1,8,33.8
East Coast Parkway,2009,11,16,5.4,,,,26.5,29.4,24.6,5.4,33.8
East Coast Parkway,2009,11,17,4.4,,,,27.2,31.4,24.8,6.8,29.9
East Coast Parkway,2009,11,18,7.8,,,,26.9,30.9,24,5.4,32
East Coast Parkway,2009,11,19,69.6,,,,25.9,30.6,23.4,6.5,113.4
East Coast Parkway,2009,11,20,27,,,,25.8,28.2,23.9,4.6,31
East Coast Parkway,2009,11,21,0.2,,,,27.4,31.1,24.9,6.3,31.7
East Coast Parkway,2009,11,22,0,,,,27.9,31.4,25.7,9.8,38.2
East Coast Parkway,2009,11,23,1,,,,27,28.8,25.5,6.9,29.5
East Coast Parkway,2009,11,24,0,,,,28.3,31,26.3,9.7,41
East Coast Parkway,2009,11,25,0,,,,28.5,33.2,26,8,34.6
East Coast Parkway,2009,11,26,0,,,,28,31.6,25.6,10.5,35.6
East Coast Parkway,2009,11,27,11.2,,,,27.8,32.6,24.3,7.9,37.1
East Coast Parkway,2009,11,28,18.4,,,,27.6,31.7,25.1,7.7,34.9
East Coast Parkway,2009,11,29,1,,,,27.3,29.9,25.1,8.4,33.8
East Coast Parkway,2009,11,30,0,,,,26.9,28,26.1,5.6,25.2
East Coast Parkway,2009,12,1,3.4,,,,27.2,30.3,24.7,9,31
East Coast Parkway,2009,12,2,0.2,,,,27.2,28.9,25.7,6.1,37.1
East Coast Parkway,2009,12,3,0,,,,26.8,28.3,25.8,5.7,31.7
East Coast Parkway,2009,12,4,47.6,,,,26,30,23.8,5.9,35.6
East Coast Parkway,2009,12,5,30.2,,,,26.1,29.5,24.7,5.3,54.4
East Coast Parkway,2009,12,6,0,,,,26.8,29,25,7.7,35.6
East Coast Parkway,2009,12,7,0,,,,27.4,30.1,25.7,9.2,36.4
East Coast Parkway,2009,12,8,0,,,,27.8,30.8,25.5,9.9,38.2
East Coast Parkway,2009,12,9,0,,,,27.9,30.7,25.8,10.2,40.3
East Coast Parkway,2009,12,10,0,,,,28,30.6,26,9.6,33.1
East Coast Parkway,2009,12,11,0,,,,27.9,30.7,25.9,12.2,44.3
East Coast Parkway,2009,12,12,0,,,,27.8,30.5,25.8,14,45.7
East Coast Parkway,2009,12,13,0,,,,28,30.8,25.7,10.2,43.6
East Coast Parkway,2009,12,14,0,,,,27.9,30.4,26.7,9.9,42.5
East Coast Parkway,2009,12,15,9.8,,,,27,29.4,24.5,8,42.1
East Coast Parkway,2009,12,16,5.2,,,,27.6,31.8,26.1,7,33.1
East Coast Parkway,2009,12,17,19.6,,,,26.6,28.1,25.1,5.1,30.6
East Coast Parkway,2009,12,18,4.2,,,,27.1,29.2,24.6,6.5,40
East Coast Parkway,2009,12,19,34.2,,,,25.8,28.4,24.4,5.1,21.6
East Coast Parkway,2009,12,20,1.4,,,,27,30.3,24.7,8.8,38.9
East Coast Parkway,2009,12,21,0.6,,,,27.4,29.9,25.1,12,46.1
East Coast Parkway,2009,12,22,4.8,,,,27,30.3,25.1,11.7,45
East Coast Parkway,2009,12,23,5.4,,,,27.9,30.2,26.2,10.8,47.2
East Coast Parkway,2009,12,24,26.2,,,,25.9,27,23.5,8.8,127.1
