Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1981,1,1,0,,,,,,,,
Jurong (West),1981,1,2,0.4,,,,,,,,
Jurong (West),1981,1,3,0,,,,,,,,
Jurong (West),1981,1,4,24.7,,,,,,,,
Jurong (West),1981,1,5,1,,,,,,,,
Jurong (West),1981,1,6,1,,,,,,,,
Jurong (West),1981,1,7,12.3,,,,,,,,
Jurong (West),1981,1,8,15.9,,,,,,,,
Jurong (West),1981,1,9,4.5,,,,,,,,
Jurong (West),1981,1,10,0,,,,,,,,
Jurong (West),1981,1,11,0,,,,,,,,
Jurong (West),1981,1,12,0,,,,,,,,
Jurong (West),1981,1,13,0.5,,,,,,,,
Jurong (West),1981,1,14,0.4,,,,,,,,
Jurong (West),1981,1,15,2.3,,,,,,,,
Jurong (West),1981,1,16,0.1,,,,,,,,
Jurong (West),1981,1,17,0,,,,,,,,
Jurong (West),1981,1,18,0,,,,,,,,
Jurong (West),1981,1,19,0,,,,,,,,
Jurong (West),1981,1,20,0,,,,,,,,
Jurong (West),1981,1,21,0,,,,,,,,
Jurong (West),1981,1,22,0,,,,,,,,
Jurong (West),1981,1,23,0,,,,,,,,
Jurong (West),1981,1,24,0,,,,,,,,
Jurong (West),1981,1,25,0,,,,,,,,
Jurong (West),1981,1,26,0,,,,,,,,
Jurong (West),1981,1,27,0,,,,,,,,
Jurong (West),1981,1,28,0,,,,,,,,
Jurong (West),1981,1,29,0.1,,,,,,,,
Jurong (West),1981,1,30,0,,,,,,,,
Jurong (West),1981,1,31,12.8,,,,,,,,
Jurong (West),1981,2,1,64.2,,,,,,,,
Jurong (West),1981,2,2,4.3,,,,,,,,
Jurong (West),1981,2,3,30,,,,,,,,
Jurong (West),1981,2,4,41.9,,,,,,,,
Jurong (West),1981,2,5,0.2,,,,,,,,
Jurong (West),1981,2,6,14.7,,,,,,,,
Jurong (West),1981,2,7,0,,,,,,,,
Jurong (West),1981,2,8,0,,,,,,,,
Jurong (West),1981,2,9,0,,,,,,,,
Jurong (West),1981,2,10,0,,,,,,,,
Jurong (West),1981,2,11,5.7,,,,,,,,
Jurong (West),1981,2,12,11.2,,,,,,,,
Jurong (West),1981,2,13,25.9,,,,,,,,
Jurong (West),1981,2,14,0.5,,,,,,,,
Jurong (West),1981,2,15,0,,,,,,,,
Jurong (West),1981,2,16,0,,,,,,,,
Jurong (West),1981,2,17,0,,,,,,,,
Jurong (West),1981,2,18,0,,,,,,,,
Jurong (West),1981,2,19,0,,,,,,,,
Jurong (West),1981,2,20,0,,,,,,,,
Jurong (West),1981,2,21,0,,,,,,,,
Jurong (West),1981,2,22,0,,,,,,,,
Jurong (West),1981,2,23,,,,,,,,,
Jurong (West),1981,2,24,,,,,,,,,
Jurong (West),1981,2,25,,,,,,,,,
Jurong (West),1981,2,26,,,,,,,,,
Jurong (West),1981,2,27,,,,,,,,,
Jurong (West),1981,2,28,0,,,,,,,,
Jurong (West),1981,3,1,0,,,,,,,,
Jurong (West),1981,3,2,0,,,,,,,,
Jurong (West),1981,3,3,0,,,,,,,,
Jurong (West),1981,3,4,10.7,,,,,,,,
Jurong (West),1981,3,5,7.2,,,,,,,,
Jurong (West),1981,3,6,2.8,,,,,,,,
Jurong (West),1981,3,7,0.2,,,,,,,,
Jurong (West),1981,3,8,0,,,,,,,,
Jurong (West),1981,3,9,0,,,,,,,,
Jurong (West),1981,3,10,0,,,,,,,,
Jurong (West),1981,3,11,0,,,,,,,,
Jurong (West),1981,3,12,25.9,,,,,,,,
Jurong (West),1981,3,13,0,,,,,,,,
Jurong (West),1981,3,14,0,,,,,,,,
Jurong (West),1981,3,15,0,,,,,,,,
Jurong (West),1981,3,16,0,,,,,,,,
Jurong (West),1981,3,17,0,,,,,,,,
Jurong (West),1981,3,18,0,,,,,,,,
Jurong (West),1981,3,19,0,,,,,,,,
Jurong (West),1981,3,20,0,,,,,,,,
Jurong (West),1981,3,21,1,,,,,,,,
Jurong (West),1981,3,22,7.4,,,,,,,,
Jurong (West),1981,3,23,7.2,,,,,,,,
Jurong (West),1981,3,24,0,,,,,,,,
Jurong (West),1981,3,25,0,,,,,,,,
Jurong (West),1981,3,26,0,,,,,,,,
Jurong (West),1981,3,27,4.4,,,,,,,,
Jurong (West),1981,3,28,0,,,,,,,,
Jurong (West),1981,3,29,14.9,,,,,,,,
Jurong (West),1981,3,30,0.3,,,,,,,,
Jurong (West),1981,3,31,10.2,,,,,,,,
Jurong (West),1981,4,1,5.5,,,,,,,,
Jurong (West),1981,4,2,0.2,,,,,,,,
Jurong (West),1981,4,3,0,,,,,,,,
Jurong (West),1981,4,4,9,,,,,,,,
Jurong (West),1981,4,5,12.7,,,,,,,,
Jurong (West),1981,4,6,0.4,,,,,,,,
Jurong (West),1981,4,7,14.9,,,,,,,,
Jurong (West),1981,4,8,81,,,,,,,,
Jurong (West),1981,4,9,0.3,,,,,,,,
Jurong (West),1981,4,10,4.5,,,,,,,,
Jurong (West),1981,4,11,30,,,,,,,,
Jurong (West),1981,4,12,0,,,,,,,,
Jurong (West),1981,4,13,12.6,,,,,,,,
Jurong (West),1981,4,14,33.8,,,,,,,,
Jurong (West),1981,4,15,0,,,,,,,,
Jurong (West),1981,4,16,8.7,,,,,,,,
Jurong (West),1981,4,17,1.1,,,,,,,,
Jurong (West),1981,4,18,4.1,,,,,,,,
Jurong (West),1981,4,19,0,,,,,,,,
Jurong (West),1981,4,20,0,,,,,,,,
Jurong (West),1981,4,21,14,,,,,,,,
Jurong (West),1981,4,22,8,,,,,,,,
Jurong (West),1981,4,23,27.8,,,,,,,,
Jurong (West),1981,4,24,0.1,,,,,,,,
Jurong (West),1981,4,25,22.1,,,,,,,,
Jurong (West),1981,4,26,1.4,,,,,,,,
Jurong (West),1981,4,27,13.4,,,,,,,,
Jurong (West),1981,4,28,0,,,,,,,,
Jurong (West),1981,4,29,3.2,,,,,,,,
Jurong (West),1981,4,30,0,,,,,,,,
Jurong (West),1981,5,1,22.1,,,,,,,,
Jurong (West),1981,5,2,8.5,,,,,,,,
Jurong (West),1981,5,3,0,,,,,,,,
Jurong (West),1981,5,4,82.7,,,,,,,,
Jurong (West),1981,5,5,0,,,,,,,,
Jurong (West),1981,5,6,0.7,,,,,,,,
Jurong (West),1981,5,7,26.3,,,,,,,,
Jurong (West),1981,5,8,0,,,,,,,,
Jurong (West),1981,5,9,0,,,,,,,,
Jurong (West),1981,5,10,0,,,,,,,,
Jurong (West),1981,5,11,0,,,,,,,,
Jurong (West),1981,5,12,0,,,,,,,,
Jurong (West),1981,5,13,0,,,,,,,,
Jurong (West),1981,5,14,0,,,,,,,,
