Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed,
Tengah,1981,1,1,0,,,,,,,,,
Tengah,1981,1,2,0.2,,,,,,,,,
Tengah,1981,1,3,0,,,,,,,,,
Tengah,1981,1,4,11,,,,,,,,,
Tengah,1981,1,5,0.1,,,,,,,,,
Tengah,1981,1,6,0.2,,,,,,,,,
Tengah,1981,1,7,3.6,,,,,,,,,
Tengah,1981,1,8,25.3,,,,,,,,,
Tengah,1981,1,9,2.6,,,,,,,,,
Tengah,1981,1,10,0,,,,,,,,,
Tengah,1981,1,11,0,,,,,,,,,
Tengah,1981,1,12,0,,,,,,,,,
Tengah,1981,1,13,0,,,,,,,,,
Tengah,1981,1,14,2.7,,,,,,,,,
Tengah,1981,1,15,1.4,,,,,,,,,
Tengah,1981,1,16,0,,,,,,,,,
Tengah,1981,1,17,0,,,,,,,,,
Tengah,1981,1,18,0,,,,,,,,,
Tengah,1981,1,19,0,,,,,,,,,
Tengah,1981,1,20,0,,,,,,,,,
Tengah,1981,1,21,0,,,,,,,,,
Tengah,1981,1,22,0,,,,,,,,,
Tengah,1981,1,23,0,,,,,,,,,
Tengah,1981,1,24,0,,,,,,,,,
Tengah,1981,1,25,0,,,,,,,,,
Tengah,1981,1,26,0,,,,,,,,,
Tengah,1981,1,27,0,,,,,,,,,
Tengah,1981,1,28,0,,,,,,,,,
Tengah,1981,1,29,1,,,,,,,,,
Tengah,1981,1,30,0,,,,,,,,,
Tengah,1981,1,31,12.8,,,,,,,,,
Tengah,1981,2,1,13.8,,,,,,,,,
Tengah,1981,2,2,76.6,,,,,,,,,
Tengah,1981,2,3,0.1,,,,,,,,,
Tengah,1981,2,4,13.4,,,,,,,,,
Tengah,1981,2,5,0,,,,,,,,,
Tengah,1981,2,6,6.6,,,,,,,,,
Tengah,1981,2,7,0,,,,,,,,,
Tengah,1981,2,8,0,,,,,,,,,
Tengah,1981,2,9,0,,,,,,,,,
Tengah,1981,2,10,0,,,,,,,,,
Tengah,1981,2,11,2.9,,,,,,,,,
Tengah,1981,2,12,6.2,,,,,,,,,
Tengah,1981,2,13,3.2,,,,,,,,,
Tengah,1981,2,14,0.2,,,,,,,,,
Tengah,1981,2,15,0.5,,,,,,,,,
Tengah,1981,2,16,0,,,,,,,,,
Tengah,1981,2,17,0,,,,,,,,,
Tengah,1981,2,18,1.3,,,,,,,,,
Tengah,1981,2,19,0,,,,,,,,,
Tengah,1981,2,20,0,,,,,,,,,
Tengah,1981,2,21,0,,,,,,,,,
Tengah,1981,2,22,0,,,,,,,,,
Tengah,1981,2,23,0,,,,,,,,,
Tengah,1981,2,24,0,,,,,,,,,
Tengah,1981,2,25,56.7,,,,,,,,,
Tengah,1981,2,26,3.1,,,,,,,,,
Tengah,1981,2,27,8.6,,,,,,,,,
Tengah,1981,2,28,3,,,,,,,,,
Tengah,1981,3,1,0,,,,,,,,,
Tengah,1981,3,2,0,,,,,,,,,
Tengah,1981,3,3,0,,,,,,,,,
Tengah,1981,3,4,14.5,,,,,,,,,
Tengah,1981,3,5,2,,,,,,,,,
Tengah,1981,3,6,5.9,,,,,,,,,
Tengah,1981,3,7,0,,,,,,,,,
