Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Boon Lay (East),2009,11,1,,,,,,,,,
Boon Lay (East),2009,11,2,,,,,,,,,
Boon Lay (East),2009,11,3,,,,,,,,,
Boon Lay (East),2009,11,4,,,,,,,,,
Boon Lay (East),2009,11,5,,,,,,,,,
Boon Lay (East),2009,11,6,,,,,,,,,
Boon Lay (East),2009,11,7,,,,,,,,,
Boon Lay (East),2009,11,8,,,,,,,,,
Boon Lay (East),2009,11,9,,,,,,,,,
Boon Lay (East),2009,11,10,,,,,,,,,
Boon Lay (East),2009,11,11,,,,,,,,,
Boon Lay (East),2009,11,12,,,,,,,,,
Boon Lay (East),2009,11,13,,,,,,,,,
Boon Lay (East),2009,11,14,,,,,,,,,
Boon Lay (East),2009,11,15,,,,,,,,,
Boon Lay (East),2009,11,16,,,,,,,,,
Boon Lay (East),2009,11,17,,,,,,,,,
Boon Lay (East),2009,11,18,,,,,,,,,
Boon Lay (East),2009,11,19,,,,,,,,,
Boon Lay (East),2009,11,20,,,,,,,,,
Boon Lay (East),2009,11,21,,,,,,,,,
Boon Lay (East),2009,11,22,,,,,,,,,
Boon Lay (East),2009,11,23,,,,,,,,,
Boon Lay (East),2009,11,24,,,,,,,,,
Boon Lay (East),2009,11,25,,,,,,,,,
Boon Lay (East),2009,11,26,,,,,,,,,
Boon Lay (East),2009,11,27,,,,,,,,,
Boon Lay (East),2009,11,28,,,,,,,,,
Boon Lay (East),2009,11,29,,,,,,,,,
Boon Lay (East),2009,11,30,,,,,,,,,
Boon Lay (East),2009,12,1,0,,,,28.2,33.1,24.9,7.2,28.8
Boon Lay (East),2009,12,2,67.4,,,,27.1,31,23.7,5.5,40.7
Boon Lay (East),2009,12,3,18.6,,,,26.8,30.4,24.6,5.6,25.6
Boon Lay (East),2009,12,4,8,,,,26.3,29.3,24.8,6.5,31.3
Boon Lay (East),2009,12,5,46,,,,26,29.6,23.8,4.8,28.4
Boon Lay (East),2009,12,6,1.6,,,,26.1,30.1,24.7,6.8,30.2
Boon Lay (East),2009,12,7,0,,,,27.5,31.3,25,7.4,38.2
Boon Lay (East),2009,12,8,0,,,,28.3,32.4,25.6,9.6,37.4
Boon Lay (East),2009,12,9,33.4,,,,27.1,31.6,24.2,7.7,38.2
Boon Lay (East),2009,12,10,0,,,,28.3,32.5,25.6,9.3,34.2
Boon Lay (East),2009,12,11,0,,,,28.5,33.1,25.9,10.3,33.1
Boon Lay (East),2009,12,12,0,,,,28,32.1,25.8,10,33.5
Boon Lay (East),2009,12,13,0,,,,28.4,31.9,25.6,7.9,33.8
Boon Lay (East),2009,12,14,0,,,,28.7,33.1,26.4,9.9,34.2
Boon Lay (East),2009,12,15,53.4,,,,27.6,33,23.5,7.7,41.8
Boon Lay (East),2009,12,16,2.4,,,,27.8,32.8,25.9,7.1,29.9
Boon Lay (East),2009,12,17,14.6,,,,26.7,30.9,24.9,4.5,27
Boon Lay (East),2009,12,18,3.6,,,,27.8,31.5,25.4,5.9,22.7
Boon Lay (East),2009,12,19,5.4,,,,26,29.4,24.8,8.3,27.4
Boon Lay (East),2009,12,20,0.4,,,,26.9,30.4,24.5,7.8,38.2
Boon Lay (East),2009,12,21,0.8,,,,27.7,30.7,25.4,10.6,45
Boon Lay (East),2009,12,22,9.6,,,,27.3,31.3,24.7,9.9,40
Boon Lay (East),2009,12,23,6.2,,,,27.9,31,25.5,9.1,39.6
Boon Lay (East),2009,12,24,4.6,,,,26.5,28.1,25.5,8.7,34.9
Boon Lay (East),2009,12,25,26.6,,,,26.7,31.7,24.8,5.3,27.4
Boon Lay (East),2009,12,26,7,,,,26.4,32.1,25,6.6,41.4
Boon Lay (East),2009,12,27,2.4,,,,26.6,30.8,24.5,7.9,32.4
Boon Lay (East),2009,12,28,21.8,,,,26.9,30.4,25,6.6,28.4
Boon Lay (East),2009,12,29,0.2,,,,27.8,32.1,25,7.2,26.6
Boon Lay (East),2009,12,30,2,,,,27.9,32,25.8,6.3,28.1
Boon Lay (East),2009,12,31,0,,,,28.3,32,25.8,8.3,34.2
Boon Lay (East),2010,1,1,28.6,,,,27.4,32.7,24.7,6.2,25.6
Boon Lay (East),2010,1,2,0,,,,27.5,31.5,24.7,5.5,23
Boon Lay (East),2010,1,3,0,,,,28.2,32.7,26.1,6,23.8
Boon Lay (East),2010,1,4,7,,,,27,30.4,23.1,7.3,63.4
Boon Lay (East),2010,1,5,0,,,,28.1,32.5,25.2,6.9,22.3
Boon Lay (East),2010,1,6,5.6,,,,28.4,33.2,25.8,6.5,47.5
Boon Lay (East),2010,1,7,16,,,,26.8,30.4,23,7.4,45.4
Boon Lay (East),2010,1,8,,,,,,,,,
Boon Lay (East),2010,1,9,0,,,,27.8,31.6,25.5,9.4,35.3
Boon Lay (East),2010,1,10,0,,,,27.7,33.4,24.4,6.4,23.4
Boon Lay (East),2010,1,11,0,,,,28.3,33.8,24.6,7.8,28.8
Boon Lay (East),2010,1,12,29.2,,,,,33.3,22.8,9.6,32
Boon Lay (East),2010,1,13,0,,,,27.5,30.9,25.4,14.3,44.6
Boon Lay (East),2010,1,14,4,,,,27.3,30.9,25.2,14.8,38.2
Boon Lay (East),2010,1,15,0.6,,,,27.6,31.5,25.2,13.6,39.2
Boon Lay (East),2010,1,16,0,,,,27.8,31.5,24.9,9,39.2
Boon Lay (East),2010,1,17,0,,,,27.9,32,25.1,11.3,37.8
Boon Lay (East),2010,1,18,0,,,,27.6,32.4,25.4,11.1,39.2
Boon Lay (East),2010,1,19,0.4,,,,27.8,33,24.9,8.2,29.2
Boon Lay (East),2010,1,20,1.8,,,,27.7,32,23.1,6.5,73.4
Boon Lay (East),2010,1,21,0.8,,,,28,32.1,25.3,7.4,27.7
Boon Lay (East),2010,1,22,21.2,,,,26.9,31.3,22.7,5.6,38.9
Boon Lay (East),2010,1,23,0,,,,28.3,32.6,25.7,9.7,30.6
Boon Lay (East),2010,1,24,0,,,,28.2,32,26,10.1,31.3
Boon Lay (East),2010,1,25,0,,,,28.3,32.6,25.8,11,34.9
Boon Lay (East),2010,1,26,0,,,,28.7,32.7,25.8,8.4,31.3
Boon Lay (East),2010,1,27,0.4,,,,28.1,31.3,26.2,10.3,38.9
Boon Lay (East),2010,1,28,0.2,,,,28.5,32.2,26.3,9.5,37.4
Boon Lay (East),2010,1,29,7,,,,28.2,33.1,25.9,8.4,41
Boon Lay (East),2010,1,30,0.2,,,,28.5,32.4,25.9,8.6,31.7
Boon Lay (East),2010,1,31,0,,,,28.6,32.5,26.5,8.7,31
Boon Lay (East),2010,2,1,0,,,,28.6,33.9,25.9,8.1,31
Boon Lay (East),2010,2,2,0,,,,,34.7,25.3,8.3,28.4
Boon Lay (East),2010,2,3,7,,,,28.9,34.5,26,9.3,28.8
Boon Lay (East),2010,2,4,0.4,,,,29,34,26.5,9.7,32.8
Boon Lay (East),2010,2,5,29.6,,,,27.7,33.8,23.2,6.5,32.8
Boon Lay (East),2010,2,6,0,,,,28.3,33.2,25.4,6.7,28.8
Boon Lay (East),2010,2,7,0.8,,,,27.9,31.8,26.2,8.1,28.8
Boon Lay (East),2010,2,8,0,,,,29,33.7,26.2,8.8,30.6
Boon Lay (East),2010,2,9,0,,,,28.7,33.3,26.3,9.3,37.1
Boon Lay (East),2010,2,10,1.2,,,,29.1,32.6,26.6,8.8,33.8
Boon Lay (East),2010,2,11,0.2,,,,28.9,32.4,27.1,9.5,34.9
Boon Lay (East),2010,2,12,0,,,,29.3,34.5,26.3,8.8,29.9
Boon Lay (East),2010,2,13,0,,,,29.2,33.3,26.5,10.5,37.4
Boon Lay (East),2010,2,14,0,,,,,32.8,26.1,7.8,31
Boon Lay (East),2010,2,15,4.4,,,,28,31.9,25.8,7,27.4
Boon Lay (East),2010,2,16,0.4,,,,28.9,33.1,26.7,10.4,34.2
Boon Lay (East),2010,2,17,0.8,,,,28.9,32.8,26.4,9.4,34.2
Boon Lay (East),2010,2,18,3.8,,,,28.5,31.9,26.1,10,42.8
Boon Lay (East),2010,2,19,8.2,,,,28.1,32.1,25.3,6.8,26.6
Boon Lay (East),2010,2,20,0,,,,28.1,31.8,26.2,8.1,32.4
Boon Lay (East),2010,2,21,10.4,,,,28,32.6,25,8.4,39.6
Boon Lay (East),2010,2,22,25.2,,,,28.5,33.4,25.8,6.9,34.6
Boon Lay (East),2010,2,23,0,,,,29.1,34.5,26.4,7.9,29.9
Boon Lay (East),2010,2,24,0,,,,29.4,34.5,25.8,10.1,33.5
Boon Lay (East),2010,2,25,0,,,,29.9,34.5,27.1,7.7,29.9
Boon Lay (East),2010,2,26,0.8,,,,29.5,34.5,27.3,7.3,25.2
Boon Lay (East),2010,2,27,0,,,,29.3,34,26.7,8,24.1
Boon Lay (East),2010,2,28,0,,,,29.7,33.9,27.1,8.6,27.4
Boon Lay (East),2010,3,1,0,,,,29.5,32.7,27.2,7.9,24.8
Boon Lay (East),2010,3,2,28.8,,,,29.2,35,25.2,7.5,27
Boon Lay (East),2010,3,3,0,,,,29.6,34.1,26.8,8.8,27
Boon Lay (East),2010,3,4,0,,,,,34.6,26.6,8.6,26.6
Boon Lay (East),2010,3,5,0,,,,29.8,35.6,27,8.7,29.5
Boon Lay (East),2010,3,6,0,,,,29.5,34.7,26.4,8.8,30.2
Boon Lay (East),2010,3,7,0,,,,29.7,33.8,27.3,8.6,27.7
Boon Lay (East),2010,3,8,0,,,,29.7,35.5,27.1,8.6,31.3
Boon Lay (East),2010,3,9,2.6,,,,29.6,33.7,27,6.3,28.8
