Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Sembawang,1991,1,1,22.3,,,,,31,23.3,6.6,
Sembawang,1991,1,2,0.2,,,,26.8,31.5,23.1,13.9,
Sembawang,1991,1,3,12.2,,,,26.2,30.7,23.4,12.7,
Sembawang,1991,1,4,0,,,,27.4,32,24.3,13.2,
Sembawang,1991,1,5,0,,,,26.7,30.1,24.5,13.7,
Sembawang,1991,1,6,0,,,,26.7,31.5,22.5,13.4,
Sembawang,1991,1,7,0,,,,27,31.7,23.6,13,
Sembawang,1991,1,8,0,,,,26.4,32.3,22,16.3,
Sembawang,1991,1,9,0,,,,27,32.4,21.7,13.6,
Sembawang,1991,1,10,1.1,,,,26.8,31.8,23.7,13.5,
Sembawang,1991,1,11,0,,,,26.9,31.6,23,14.4,
Sembawang,1991,1,12,0,,,,27.5,33.2,23.3,11.7,
Sembawang,1991,1,13,5.1,,,,27.7,32.2,24.3,12.9,
Sembawang,1991,1,14,17.1,,,,25.5,27.6,23.7,7.8,
Sembawang,1991,1,15,7.5,,,,25.8,29.8,23.7,11.5,
Sembawang,1991,1,16,12.1,,,,25.9,30.7,24,12.6,
Sembawang,1991,1,17,0,,,,27.1,31.2,25,15.2,
Sembawang,1991,1,18,0,,,,27,31.7,23.5,14.8,
Sembawang,1991,1,19,16.5,,,,25.9,31,23.6,8.5,
Sembawang,1991,1,20,0.7,,,,26.4,30.9,22.8,10.2,
Sembawang,1991,1,21,0,,,,25.7,27.8,24,5.9,
Sembawang,1991,1,22,0.1,,,,26.6,31.1,23.9,10.6,
Sembawang,1991,1,23,1.5,,,,26.6,31.7,23.1,11.4,
Sembawang,1991,1,24,0.4,,,,26.8,31.7,21.3,9.8,
Sembawang,1991,1,25,0.2,,,,25.3,28.5,23.4,7.2,
Sembawang,1991,1,26,0,,,,26.7,30.9,23.8,8.9,
Sembawang,1991,1,27,0.1,,,,26.6,31,23.3,9.5,
Sembawang,1991,1,28,8.7,,,,25.5,29,23.2,7.4,
Sembawang,1991,1,29,14.8,,,,24.7,31,22.5,8.6,
Sembawang,1991,1,30,5,,,,25.8,32.1,21.4,9.7,
Sembawang,1991,1,31,1.8,,,,25.9,29.6,23.2,9.9,
Sembawang,1991,2,1,0,,,,26.8,32,22.3,10.6,
Sembawang,1991,2,2,0,,,,27.1,32.3,22.9,10.4,
Sembawang,1991,2,3,8.7,,,,25.7,31.8,23.6,8.7,
Sembawang,1991,2,4,0,,,,26.7,31.2,23.2,12.9,
Sembawang,1991,2,5,0,,,,26.9,31.1,23.5,12.8,
Sembawang,1991,2,6,0,,,,26.7,30.6,24,10.5,
Sembawang,1991,2,7,2,,,,26,29.6,23.3,7.8,
Sembawang,1991,2,8,0,,,,27,31.9,23,11.1,
Sembawang,1991,2,9,0,,,,26.8,32.1,22.5,9.1,
Sembawang,1991,2,10,0,,,,26.7,31.9,22.5,10,
Sembawang,1991,2,11,12.5,,,,26.2,31,22.3,8.4,
Sembawang,1991,2,12,0,,,,26,30.7,22,10,
Sembawang,1991,2,13,0,,,,26.8,32.5,21.7,7.9,
Sembawang,1991,2,14,10.1,,,,26.5,32.7,22.4,6.6,
Sembawang,1991,2,15,2,,,,26.9,33.3,23,6.2,
Sembawang,1991,2,16,0,,,,27.4,31.5,24.6,6.1,
Sembawang,1991,2,17,2.4,,,,26.6,33.1,23.5,6.5,
Sembawang,1991,2,18,0,,,,27.3,32.6,23.8,8.2,
Sembawang,1991,2,19,0,,,,27.6,32.4,23.2,13.3,
Sembawang,1991,2,20,0,,,,26.9,32.3,22,15.3,
Sembawang,1991,2,21,0,,,,26.6,31.9,22,14.3,
Sembawang,1991,2,22,0,,,,27.1,32.2,22.6,15.1,
Sembawang,1991,2,23,0,,,,27.2,32.4,23.3,17.7,
Sembawang,1991,2,24,0,,,,27.6,32.2,23.8,17.5,
Sembawang,1991,2,25,0,,,,27.6,33.6,23,14.2,
Sembawang,1991,2,26,0,,,,27.3,32.1,24,10.8,
Sembawang,1991,2,27,1,,,,25.4,29.4,23.3,6.1,
Sembawang,1991,2,28,9.1,,,,25.8,30.3,23.6,9,
Sembawang,1991,3,1,0,,,,27.1,32.3,23.1,11,
Sembawang,1991,3,2,0,,,,28,33.8,24,15.6,
Sembawang,1991,3,3,0,,,,27.3,32.8,22.7,13.9,
Sembawang,1991,3,4,0,,,,26.8,32.4,21.8,9.7,
Sembawang,1991,3,5,0,,,,27.4,34.8,21.6,11,
Sembawang,1991,3,6,0.1,,,,27.4,33.2,23.5,11.6,
Sembawang,1991,3,7,0,,,,27.9,33.3,24.5,10.9,
Sembawang,1991,3,8,0,,,,27.8,32.7,24.4,12.7,
Sembawang,1991,3,9,0,,,,28,33.5,23.2,13.7,
Sembawang,1991,3,10,0,,,,27.4,32.6,23.2,15.3,
Sembawang,1991,3,11,0,,,,27,33.8,22,9.9,
Sembawang,1991,3,12,15.2,,,,26.8,32.3,23.4,8.7,
Sembawang,1991,3,13,0,,,,27.1,31.5,23.6,9.3,
Sembawang,1991,3,14,0,,,,27.6,32.2,24.3,13.2,
Sembawang,1991,3,15,11.9,,,,28.1,32.4,24.7,11.7,
Sembawang,1991,3,16,0.1,,,,28,33.6,24,6.3,
Sembawang,1991,3,17,0,,,,28.2,33.4,23.8,9.4,
Sembawang,1991,3,18,43.5,,,,28.4,32.6,24.2,10.4,
Sembawang,1991,3,19,2.4,,,,25.7,27.8,23.3,6.3,
Sembawang,1991,3,20,1.3,,,,27.4,32.8,23.3,8.8,
Sembawang,1991,3,21,0,,,,27.1,32.3,24.2,9.1,
Sembawang,1991,3,22,0,,,,28.5,32.9,24.8,8.2,
Sembawang,1991,3,23,8.5,,,,27.5,32.9,23.8,6.5,
Sembawang,1991,3,24,4.3,,,,27,32.2,23.5,9.1,
Sembawang,1991,3,25,0.2,,,,27.7,32.5,23.7,9.8,
Sembawang,1991,3,26,0,,,,28.5,33,24.5,13.5,
Sembawang,1991,3,27,0,,,,,33.6,24.2,17.5,
Sembawang,1991,3,28,0,,,,,34.3,24.8,14.2,
Sembawang,1991,3,29,0.9,,,,26.7,29.8,25,7.5,
Sembawang,1991,3,30,51.8,,,,24.9,31.8,22.8,7,
Sembawang,1991,3,31,0,,,,27,31.4,22.6,7.8,
Sembawang,1991,4,1,9.2,,,,25.9,30.2,22.9,9.1,
Sembawang,1991,4,2,0,,,,27.3,32.8,22.5,14.5,
Sembawang,1991,4,3,8.7,,,,26.5,32.2,23.4,6.2,
Sembawang,1991,4,4,1.4,,,,26.2,32.5,23.5,7.2,
Sembawang,1991,4,5,0.1,,,,26.9,32.9,22.7,6.9,
Sembawang,1991,4,6,0,,,,27.7,32,24.2,7.1,
Sembawang,1991,4,7,22.3,,,,27.5,33.4,24,3.7,
Sembawang,1991,4,8,0,,,,27.9,34.3,23.8,8.1,
Sembawang,1991,4,9,1.5,,,,27.5,34.2,23.5,3.4,
Sembawang,1991,4,10,27.4,,,,26.6,34.5,23,7.4,
Sembawang,1991,4,11,63.2,,,,27,33.6,23.2,6.5,
Sembawang,1991,4,12,11.6,,,,27.1,33.6,23,3.3,
Sembawang,1991,4,13,7.8,,,,27.4,33.5,23.7,3.2,
Sembawang,1991,4,14,8.2,,,,,33.5,24,2.4,
Sembawang,1991,4,15,6.1,,,,,33.3,23.6,6.2,
