Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Khatib,2010,10,1,,,,,,,,,
Khatib,2010,10,2,,,,,,,,,
Khatib,2010,10,3,,,,,,,,,
Khatib,2010,10,4,,,,,,,,,
Khatib,2010,10,5,,,,,,,,,
Khatib,2010,10,6,,,,,,,,,
Khatib,2010,10,7,,,,,,,,,
Khatib,2010,10,8,,,,,,,,,
Khatib,2010,10,9,,,,,,,,,
Khatib,2010,10,10,,,,,,,,,
Khatib,2010,10,11,,,,,,,,,
Khatib,2010,10,12,12.6,,,,27.9,31.8,25.1,3.3,27.4
Khatib,2010,10,13,,,,,26.8,30.9,23.5,3.4,29.9
Khatib,2010,10,14,0,,,,,32.5,25.2,4.9,33.8
Khatib,2010,10,15,0,,,,28.7,33.6,25.2,4.9,32
Khatib,2010,10,16,0.2,,,,28.9,33.6,24.1,4.7,28.8
Khatib,2010,10,17,3.8,,,,28.1,31.4,24.6,3.8,28.4
Khatib,2010,10,18,0,,,,28.2,33.4,25.2,3.7,48.6
Khatib,2010,10,19,0.4,,,,27.5,30.9,25.2,3.4,24.1
Khatib,2010,10,20,0,,,,27.6,33.6,24.6,3.5,57.2
Khatib,2010,10,21,0,,,,27.2,30.1,25.1,3,13.7
Khatib,2010,10,22,0,,,,27.6,31.7,25.5,2.8,14
Khatib,2010,10,23,11.6,,,,26.7,32.9,24.2,3.9,31
Khatib,2010,10,24,4.6,,,,25.8,30.8,23.4,3.5,25.2
Khatib,2010,10,25,0.4,,,,26.5,29.3,24.1,3.9,15.8
Khatib,2010,10,26,7.6,,,,27.4,31.8,23.9,5,23
Khatib,2010,10,27,0.2,,,,26.1,28.9,23.3,5.1,28.1
Khatib,2010,10,28,7.4,,,,27.8,32.5,24.1,4.5,28.1
Khatib,2010,10,29,28.4,,,,26.9,33.4,22.8,5.2,40
Khatib,2010,10,30,1.4,,,,26.2,31.9,22.5,4.5,29.9
Khatib,2010,10,31,22.2,,,,27.4,31.2,23.7,5.7,24.5
Khatib,2010,11,1,3,,,,27.5,31.9,22.7,7.8,36
Khatib,2010,11,2,0,,,,27.5,31.8,24.1,4.1,23.4
Khatib,2010,11,3,0.2,,,,29.3,34,26.2,5.2,25.6
Khatib,2010,11,4,0.2,,,,28,30.6,25.4,4.2,23.4
Khatib,2010,11,5,0.4,,,,27.4,32.8,25.6,4,19.4
Khatib,2010,11,6,4.2,,,,27.5,33,23.9,5,25.6
Khatib,2010,11,7,3.4,,,,26.4,31.1,23.4,5,38.5
Khatib,2010,11,8,8,,,,26.3,30.2,23.5,3.7,24.1
Khatib,2010,11,9,3.2,,,,25.8,28.5,23.9,3.8,21.2
Khatib,2010,11,10,0,,,,27.7,32.9,24.7,4.4,23.8
Khatib,2010,11,11,0.2,,,,26.5,30.6,24.6,3.7,31.7
Khatib,2010,11,12,0,,,,27.1,30.7,24.6,5.1,24.5
Khatib,2010,11,13,25,,,,26.8,33.2,23.9,4,28.8
Khatib,2010,11,14,16.8,,,,25.2,31.3,23.5,3.9,28.1
Khatib,2010,11,15,11.4,,,,26.1,31.1,23.9,4.3,29.9
Khatib,2010,11,16,61.6,,,,26,33.2,23.5,4.4,37.1
Khatib,2010,11,17,55.4,,,,25.1,30.8,23.6,3,21.6
Khatib,2010,11,18,3.8,,,,26.1,31.9,23,2.9,16.6
Khatib,2010,11,19,0,,,,27.4,32.6,23.4,4,27.7
Khatib,2010,11,20,18.4,,,,26,31.1,24.2,3.3,27.4
Khatib,2010,11,21,13.6,,,,27,31.7,23.6,3.4,22.7
Khatib,2010,11,22,0,,,,27.7,33,24.3,3.9,26.6
Khatib,2010,11,23,0,,,,27.5,33.1,24.2,3.9,23.8
Khatib,2010,11,24,41.6,,,,26,31.9,23.2,3.6,30.6
Khatib,2010,11,25,31.4,,,,25.6,32.1,22.6,4.7,45
Khatib,2010,11,26,0,,,,26.9,31.8,23,4.2,22.3
Khatib,2010,11,27,9.6,,,,27.1,33,23.8,3.4,28.1
Khatib,2010,11,28,3.2,,,,27,32.5,24.5,3.5,19.1
Khatib,2010,11,29,80.2,,,,25.4,31.6,23.6,3.5,29.2
Khatib,2010,11,30,30.6,,,,26,32.9,23.1,3.8,27.4
Khatib,2010,12,1,0,,,,26.8,31,23.6,3.4,22.3
Khatib,2010,12,2,50.8,,,,26.4,32.9,22.4,4.7,25.2
Khatib,2010,12,3,4.4,,,,26,32,22.6,5.1,42.5
Khatib,2010,12,4,0.4,,,,25.8,27.8,23.8,5.1,22.7
Khatib,2010,12,5,0,,,,27.6,32.8,24.3,6,26.6
Khatib,2010,12,6,2.2,,,,26.7,32.7,24.4,4.3,28.8
Khatib,2010,12,7,0,,,,27.4,32.5,24.6,4.3,27.7
Khatib,2010,12,8,0,,,,27.3,31.3,25.5,5.4,28.4
Khatib,2010,12,9,0,,,,26.3,29.8,24.6,5.7,35.6
Khatib,2010,12,10,0,,,,26.7,29.8,23.6,2.9,13
Khatib,2010,12,11,0.4,,,,27.5,32.6,24.6,4.5,26.6
Khatib,2010,12,12,0,,,,27.9,32.9,24.1,5.1,31
Khatib,2010,12,13,2.8,,,,27.1,32.2,24.7,4.1,26.6
Khatib,2010,12,14,0,,,,27.6,32.9,23.2,4.1,23.8
Khatib,2010,12,15,5,,,,27.1,33.2,24.1,4.2,22.3
Khatib,2010,12,16,4.2,,,,25,29.8,23.1,4.7,47.2
Khatib,2010,12,17,2.6,,,,25.8,31.9,22.4,4.4,38.5
Khatib,2010,12,18,5,,,,25.7,30.7,23.6,6.6,38.9
Khatib,2010,12,19,0.4,,,,26.2,30.3,23.5,5.8,26.6
Khatib,2010,12,20,0,,,,26.7,30.9,23.8,4.6,19.4
Khatib,2010,12,21,0,,,,27.4,31.6,24.1,6.4,28.1
Khatib,2010,12,22,1.6,,,,26.7,30.7,24.3,5,25.2
Khatib,2010,12,23,0,,,,26.2,29.2,24.2,4,16.6
Khatib,2010,12,24,0.4,,,,26.8,31.9,23.7,5.2,27.4
Khatib,2010,12,25,22.6,,,,25.9,30.5,21.5,4.4,39.6
Khatib,2010,12,26,0,,,,26.6,31.9,22.8,5.1,28.4
Khatib,2010,12,27,1.8,,,,26.8,30.5,23.9,6.1,25.9
Khatib,2010,12,28,0,,,,25.2,26,24.2,7.2,33.1
Khatib,2010,12,29,0,,,,26.3,31,23.9,5.1,27.7
Khatib,2010,12,30,0.4,,,,25.3,27.6,23.6,5.6,27.7
Khatib,2010,12,31,1.2,,,,26,31.5,22.5,4.8,20.9
Khatib,2011,1,1,2,,,,27,31.5,23.9,6.5,27.7
Khatib,2011,1,2,0,,,,27.6,31.6,25.1,6.8,30.2
Khatib,2011,1,3,15.2,,,,25.7,31.9,23.9,5,70.2
Khatib,2011,1,4,0,,,,27.2,32,23.8,6.2,26.3
Khatib,2011,1,5,40.2,,,,27.1,33,23.8,6.2,29.9
Khatib,2011,1,6,5.8,,,,24.9,28.4,23.4,3.9,21.6
Khatib,2011,1,7,0.2,,,,24.8,26.5,23.5,5.5,29.5
Khatib,2011,1,8,0.6,,,,,30.5,23,6.8,43.9
Khatib,2011,1,9,0,,,,,30,24.3,6.5,29.9
Khatib,2011,1,10,21,,,,24.4,25.6,23.4,4.9,19.8
Khatib,2011,1,11,0.2,,,,24.9,27.6,23,3.6,24.1
Khatib,2011,1,12,23,,,,25.2,31.6,22.7,3.7,20.9
Khatib,2011,1,13,0,,,,26.5,30.8,22.8,5.7,29.5
Khatib,2011,1,14,27.8,,,,25.4,30.3,22.8,4.3,35.6
Khatib,2011,1,15,11.2,,,,25.9,30.5,23.7,4,29.9
Khatib,2011,1,16,0,,,,26.4,29.6,24.5,6.8,29.5
Khatib,2011,1,17,9.8,,,,25.3,30,23.2,6.9,28.8
Khatib,2011,1,18,0.6,,,,26.1,30.3,23.1,6.5,32.4
Khatib,2011,1,19,0,,,,26.6,31.2,23.8,6.8,27.4
Khatib,2011,1,20,8.8,,,,26.4,31.4,23.2,5.7,24.8
