Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2020,9,1,    10.0,    10.0,    10.0,    10.0,    29.0,    31.3,    25.7,    11.5,    35.0
Pasir Panjang,2020,9,2,     0.0,     0.0,     0.0,     0.0,    28.9,    30.9,    28.1,    11.4,    42.4
Pasir Panjang,2020,9,3,    47.8,    23.8,    35.0,    36.6,    27.3,    29.2,    23.5,    13.2,    40.7
Pasir Panjang,2020,9,4,     8.6,     4.6,     6.2,     7.8,    27.6,    29.7,    26.4,    13.8,    47.2
Pasir Panjang,2020,9,5,    19.0,     2.0,     4.0,     6.4,    26.2,    27.1,    25.0,    15.6,    36.7
Pasir Panjang,2020,9,6,     2.0,     1.4,     1.8,     1.8,    27.1,    29.5,    25.5,    14.2,    42.8
Pasir Panjang,2020,9,7,     0.0,     0.0,     0.0,     0.0,    28.7,    31.7,    26.2,    13.4,    36.7
Pasir Panjang,2020,9,8,     0.0,     0.0,     0.0,     0.0,    28.5,    30.7,    26.9,    10.3,    32.8
Pasir Panjang,2020,9,9,     0.0,     0.0,     0.0,     0.0,    28.6,    30.8,    27.2,     8.9,    31.3
Pasir Panjang,2020,9,10,    37.4,    21.2,    25.0,    34.0,    27.0,    28.3,    23.1,    12.4,    72.8
Pasir Panjang,2020,9,11,    21.4,    16.4,    17.4,    18.8,    27.7,    30.3,    24.3,     9.0,    46.9
Pasir Panjang,2020,9,12,    11.2,     4.0,     5.8,     7.0,    26.6,    28.4,    24.5,     8.4,    43.2
Pasir Panjang,2020,9,13,    33.6,    13.4,    19.4,    22.0,    25.2,    27.1,    23.0,     8.5,    49.3
Pasir Panjang,2020,9,14,    33.4,    28.2,    31.8,    33.0,    25.9,    28.6,    23.3,     8.1,    38.5
Pasir Panjang,2020,9,15,     0.0,     0.0,     0.0,     0.0,    27.6,    30.1,    25.4,     8.2,    24.8
Pasir Panjang,2020,9,16,     8.0,     2.0,     3.0,     4.6,    26.8,    29.0,    22.6,    13.1,    88.5
Pasir Panjang,2020,9,17,     1.8,     1.6,     1.8,     1.8,    28.0,    30.5,    26.4,     9.3,    34.6
Pasir Panjang,2020,9,18,     0.0,     0.2,     1.8,     1.8,    28.9,    31.5,    26.7,    10.2,    29.1
Pasir Panjang,2020,9,19,     2.0,     2.0,     2.0,     2.0,    28.1,    32.5,    24.3,    11.0,    61.5
Pasir Panjang,2020,9,20,     0.2,     0.2,     0.2,     0.2,    29.2,    32.5,    27.8,     9.0,    24.1
Pasir Panjang,2020,9,21,    15.8,    13.8,    14.2,    14.6,    26.6,    28.4,    24.2,     8.9,    40.7
Pasir Panjang,2020,9,22,     0.0,     0.0,     0.0,     0.0,    27.9,    30.2,    26.4,     9.6,    30.6
Pasir Panjang,2020,9,23,     0.0,     0.0,     0.0,     0.0,    28.8,    31.1,    26.9,     8.1,    31.7
Pasir Panjang,2020,9,24,     3.6,     3.6,     3.6,     3.6,    28.3,    30.3,    24.6,    12.7,    67.6
Pasir Panjang,2020,9,25,    43.6,    25.6,    42.0,    43.6,    28.8,    31.9,    23.3,     9.4,    55.4
Pasir Panjang,2020,9,26,    48.2,    25.2,    47.2,    70.2,    25.9,    27.9,    22.9,    14.5,    41.5
Pasir Panjang,2020,9,27,     4.6,     2.0,     3.2,     4.4,    26.7,    28.3,    24.1,    14.1,    39.6
Pasir Panjang,2020,9,28,     0.0,     0.0,     0.0,     0.0,    28.5,    31.2,    27.3,     9.8,    35.0
Pasir Panjang,2020,9,29,     2.0,     2.0,     2.0,     2.0,    27.6,    28.8,    25.1,     8.9,    37.8
Pasir Panjang,2020,9,30,     6.8,     5.8,     5.8,     5.8,    28.0,    31.2,    25.6,     8.4,    39.6
