Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,1994,9,1,0.3,—,—,—,26.1,31,24.3,4.4,—
Sembawang,1994,9,2,0,—,—,—,27.4,32.2,23.5,5.2,—
Sembawang,1994,9,3,0,—,—,—,27.5,32.6,23.1,4.3,—
Sembawang,1994,9,4,0,—,—,—,27.8,32.4,23.1,4.3,—
Sembawang,1994,9,5,0.1,—,—,—,27.8,31.8,23.9,3.5,—
Sembawang,1994,9,6,1,—,—,—,27.4,32,23.5,3,—
Sembawang,1994,9,7,0,—,—,—,28.4,32.4,25.5,4.9,—
Sembawang,1994,9,8,1.1,—,—,—,27.8,31.9,24.3,3.8,—
Sembawang,1994,9,9,0.1,—,—,—,28,32.7,24.8,4.2,—
Sembawang,1994,9,10,0,—,—,—,28.3,32.7,24.1,4,—
Sembawang,1994,9,11,0,—,—,—,28.1,31.2,25,4.1,—
Sembawang,1994,9,12,0,—,—,—,28,32.4,24,4.8,—
Sembawang,1994,9,13,0,—,—,—,27.7,32.6,23.3,4,—
Sembawang,1994,9,14,0,—,—,—,28.3,33.1,23.5,4.1,—
Sembawang,1994,9,15,58,—,—,—,26.9,33.1,23.4,3.8,—
Sembawang,1994,9,16,0,—,—,—,26.8,32.4,22.8,4.5,—
Sembawang,1994,9,17,0,—,—,—,27.4,33,23.5,6.2,—
Sembawang,1994,9,18,8.9,—,—,—,25.3,27.5,23.1,5.5,—
Sembawang,1994,9,19,0,—,—,—,27.5,33.1,23.4,7.4,—
Sembawang,1994,9,20,0,—,—,—,28.7,34,23.6,4.2,—
Sembawang,1994,9,21,0,—,—,—,28.3,33.7,24.1,4,—
Sembawang,1994,9,22,0,—,—,—,28.4,33,24.7,4.2,—
Sembawang,1994,9,23,9.6,—,—,—,26.3,30.7,24.5,3.2,—
Sembawang,1994,9,24,19,—,—,—,25.6,29,23.6,2.1,—
Sembawang,1994,9,25,0,—,—,—,26.6,30.8,23.4,4.1,—
Sembawang,1994,9,26,0,—,—,—,27.3,31.6,23.8,3.4,—
Sembawang,1994,9,27,0,—,—,—,27.3,31.6,23.6,2.9,—
Sembawang,1994,9,28,0,—,—,—,27.3,31.3,23.6,3.2,—
Sembawang,1994,9,29,0,—,—,—,27.5,31.6,24.2,3.1,—
Sembawang,1994,9,30,0,—,—,—,27.7,31.8,24.1,4.1,—
