,Longitude,Latitude,Station
0,1.3524,103.9007,Paya Lebar
1,1.3858,103.7114,Tengah
2,1.3678,103.9826,Changi
3,1.4166,103.8654,Seletar
4,1.3399,103.8878,Tai Seng
5,1.3455,103.6806,Jurong (West)
6,1.3764,103.8492,Ang Mo Kio
7,1.3337,103.7768,Clementi
8,1.4439,103.7854,Admiralty
9,1.25,103.8279,Sentosa Island
10,1.4252,103.8202,Sembawang
11,1.3302,103.7205,Boon Lay (East)
12,1.189,103.768,Semakau Island
13,1.4168,103.9673,Pulau Ubin
14,1.3134,103.9619,East Coast Parkway
15,1.2799,103.8703,Marina Barrage
16,1.3106,103.8365,Newton
17,1.2938,103.6184,Tuas South
18,1.281,103.754,Pasir Panjang
19,1.2542,103.6741,Jurong Island
20,1.3729,103.7224,Choa Chu Kang (South)
21,1.4173,103.8249,Khatib
22,1.3417,103.8338,Macritchie Reservoir
23,1.3701,103.8271,Lower Peirce Reservoir
24,1.3863,103.9412,Pasir Ris (West)
25,1.2745,103.828,Kampong Bahru
26,1.3081,103.71,Jurong Pier
27,1.3329,103.7556,Ulu Pandan
28,1.3382,103.8657,Serangoon
29,1.3262,103.7354,Jurong (East)
30,1.4036,103.7898,Mandai
31,1.3416,103.8106,Upper Thomson
32,1.3837,103.886,Buangkok
33,1.3275,103.7042,Boon Lay (West)
34,1.3824,103.7603,Bukit Panjang
35,1.4387,103.7363,Kranji Reservoir
36,1.274,103.8482,Tanjong Pagar
37,1.4582,103.7953,Admiralty (West)
38,1.2937,103.8125,Queenstown
39,1.307,103.8907,Tanjong Katong
40,1.3277,103.9203,Chai Chee
41,1.37,103.805,Upper Peirce Reservoir
42,1.2923,103.7815,Kent Ridge
43,1.3004,103.8372,Somerset
44,1.4029,103.9092,Punggol
45,1.3247,103.6351,Tuas West
46,1.3437,103.9444,Simei
47,1.3415,103.8519,Toa Payoh
48,1.3199,103.6616,Tuas
49,1.3191,103.8191,Bukit Timah
50,1.4301,103.8308,Yishun
51,1.2841,103.7886,Buona Vista
52,1.3679,103.9489,Pasir Ris Central
53,1.3505,103.7134,Jurong (North)
54,1.3746,103.6938,Choa Chu Kang (West)
